a	eɪ
badeurago	b a d j uː ɹ eɪ ɡ əʊ
badeureo	b a d j uː ɹ eɪ əʊ
badeusin	b a d j uː z ə n
baduk	b a d ʌ k
bae	b iː
baeaneun	b iː ɐ n j uː n
baebyeongryeol	b iː b j əʊ ŋ ɡ r j əʊ l
baechaneun	b iː tʃ ɐ n j uː n
baechi	b iː tʃ aɪ
baechibadeun	b iː tʃ ɪ b a d j uː n
baechidoen	b iː tʃ ɪ d əʊ n
baechidoeneun	b iː tʃ ɪ d əʊ n j uː n
baechiga	b iː tʃ ɪ ɡ ə
baechihae	b iː tʃ ɪ h iː
baechihaneun	b iː tʃ ɪ h a n j uː n
baechiwa	b iː tʃ ɪ w ə
baechulhaetda	b iː tʃ ə l h iː t d ə
baeda	b iː d ə
baedalhae	b iː d ɐ l h iː
baedalhago	b iː d ɐ l h eɪ ɡ əʊ
baedangryuri	b iː d ɐ ŋ ɡ r j uː ɹ i
baedaruiminjok	b iː d ɑː ɹ uː ɪ m ɪ n dʒ ɒ k
baee	b iː
baega	b iː ɡ ə
baegakgwan	b iː ɡ a k ɡ w ə n
baegaryang	b iː ɡ ɑː j a ŋ
baegeobeuro	b iː dʒ ɪ ə b j uː ɹ əʊ
baegeup	b iː dʒ j uː p
baegeupbatneun	b iː dʒ j uː p b a t n j uː n
baegigaseu	b iː dʒ ɪ ɡ a s j uː
baegiryangi	b iː ɡ ə j a ŋ i
baegyeong	b iː dʒ j əʊ ŋ
baegyeongdo	b iː dʒ j əʊ ŋ d əʊ
baegyeongeul	b iː dʒ j əʊ n dʒ j uː l
baegyeonggwa	b iː dʒ j əʊ ŋ ɡ w ə
baehuseryeogiraneun	b iː h j uː s ə j ɪ ɒ dʒ ə ɹ a n j uː n
baejaedaedo	b iː j iː d iː d əʊ
baeje	b iː dʒ
baejedoen	b iː dʒ ɪ d əʊ n
baejedoeneun	b iː dʒ ɪ d əʊ n j uː n
baejehago	b iː dʒ ɪ h eɪ ɡ əʊ
baejehal	b iː dʒ ɛ h əl
baejeongdoego	b iː dʒ ɪ ə ŋ d əʊ ɡ əʊ
baejeongdoenda	b iː dʒ ɪ ɒ ŋ d əʊ n d ə
baek	b iː k
baekdusan	b iː k d j uː s ə n
baekhwajeom	b iː k h w eɪ dʒ ə m
baekhwajeomeseo	b iː k h w eɪ dʒ əʊ m s eɪ əʊ
baekhwajeomgwa	b iː k h w eɪ dʒ ɒ m ɡ w ə
baekjakdo	b iː k dʒ a k d əʊ
baekje	b iː k dʒ
baekjewangssiran	b iː k dʒ uː a ŋ s ɜː ɹ ə n
baekjibeseo	b iː k dʒ aɪ b s eɪ əʊ
baekjongwon	b iː k dʒ ɒ ŋ w ə n
baekjuboda	b iː k dʒ uː b əʊ d ə
baekkaji	b iː k a dʒ i
baekman	b iː k m ə n
baekmineun	b iː k m aɪ n ʌ n
baekmossiwa	b iː k m ɒ s ɪ w ə
baeknaejangeuro	b iː k n iː dʒ ɐ n dʒ j uː ɹ əʊ
baeknyeonjidaegyeui	b iː k n j əʊ n dʒ ɪ d iː dʒ ɪ j uː i
baekseoreul	b iː k s ɪ ɔː ɹ uː l
baemeun	b iː m j uː n
baemeuro	b iː m j uː ɹ əʊ
baena	b iː n ə
baenkubeoeseo	b iː ŋ k j uː b ɪ əʊ s eɪ əʊ
baenkubeokkaji	b iː ŋ k j uː b ɪ ɒ k a dʒ i
baepohae	b iː p əʊ h iː
baepohaetdago	b iː p əʊ h iː t d eɪ ɡ əʊ
baereol	b eə ɹ ɪ ɒ l
baereolkkaji	b eə ɹ ɪ ɒ l k a dʒ i
baereoreul	b eə ɹ ɪ ɔː ɹ uː l
baereorina	b eə ɹ ɪ ɔː ɹ iː n ə
baereul	b eə ɹ uː l
baero	b eə ɹ əʊ
baeryeohaji	b eə j əʊ h a dʒ i
baeryeoui	b eə ɹ ɪ ɪ uː i
baesang	b iː s a ŋ
baesangaegeul	b iː s ɐ ŋ ɡ iː dʒ j uː l
baesangharago	b iː s ɐ ŋ h ɐ ɹ eɪ ɡ əʊ
baesangi	b iː s a ŋ ɡ i
baeseolmure	b iː s ɪ ɒ l m j ʊə
baeseolmureun	b iː s ɪ ɒ l m j ʊə ɹ uː n
baeseunghui	b iː s j uː ŋ h j uː i
baeseupeodeuga	b iː s j uː p ɪ əʊ d uː ɡ ə
baesimwondanui	b iː s ɪ m w ʌ n d ɐ n j uː i
baesin	b iː s ɪ n
baesonge	b iː s ɒ n dʒ
baesonginryeok	b iː s ɒ ŋ ɡ ɪ n r j əʊ k
baesongjangsowa	b iː s ɒ ŋ dʒ a ŋ s əʊ ə
baetajeogin	b iː t eɪ dʒ ɒ dʒ ɪ n
baeteori	b iː t ɪ ɔː ɹ i
baeteoriui	b iː t ɪ ɔː ɹ ɪ j uː i
baeteu	b iː t j uː
baetmeoriman	b iː t m ɪ ɔː ɹ ɪ m ə n
baettakjiga	b iː t ɐ k dʒ ɪ ɡ ə
baeu	b iː uː
baeuga	b iː uː ɡ ə
baeui	b iː j uː i
baeujaege	b iː j uː j iː dʒ
baeujagameul	b iː j uː dʒ a ɡ ɐ m j uː l
baeujaneun	b iː j uː dʒ a n j uː n
baeujareul	b iː j uː dʒ eə ɹ ʌ l
baeujatgameul	b iː j uː dʒ a t ɡ ɐ m j uː l
baeujaui	b iː j uː dʒ ɔː i
baeun	b iː ʌ n
baeuneun	b iː ə n j uː n
baewa	b iː w ə
baewo	b iː w əʊ
baewotseupnida	b iː w ə t s j uː p n ɪ d ə
baeyeol	b iː j əʊ l
bagamugaessineun	b a ɡ ɐ m j uː ɡ iː s aɪ n ʌ n
bagamugaessireul	b a ɡ ɐ m j uː ɡ iː s aɪə ɹ ʌ l
bagatjannarago	b a ɡ ɐ t dʒ a n ɐ ɹ eɪ ɡ əʊ
baginho	b a dʒ ɪ n h əʊ
baginsuk	b a dʒ ɪ n s ʌ k
bagwonsun	b a ɡ w ə n s ʌ n
bagwontaek	b a ɡ w ɒ n t iː k
bagyeongseondeung	b a dʒ j əʊ ŋ s ɪ ɒ n d j uː ŋ
bagyeongsu	b a dʒ j əʊ ŋ s uː
baida	b eɪ d ə
baiereun	b eɪ ə ɹ uː n
baio	b eɪ əʊ
baireoseu	b eə ɹ əʊ s uː
baireoseudo	b eə ɹ əʊ s j uː d əʊ
baireoseuneun	b eə ɹ əʊ s ʌ n j uː n
baireoseurado	b eə ɹ əʊ s j uː ɹ ɑː d əʊ
baireoseureul	b eə ɹ əʊ s j uː ɹ uː l
bajiga	b a dʒ ɪ ɡ ə
bajireul	b a dʒ aɪə ɹ ʌ l
bajiseon	b a dʒ aɪ s ə n
bajjak	b a dʒ a k
bak	b a k
bakbeomgye	b a k b ɪ ɒ m dʒ aɪ
bakchanggeun	b a k tʃ ɐ ŋ dʒ j uː n
bakchangjin	b a k tʃ ɐ ŋ dʒ ɪ n
bakgeunhe	b a k dʒ j uː n h
bakgeunhye	b a k dʒ j uː n h aɪ
bakgeunhyereul	b a k dʒ j uː n h ɪ ə ɹ uː l
bakgwangon	b a k ɡ w a ŋ ɡ ə n
bakgyeongmin	b a k dʒ j əʊ ŋ m ɪ n
bakgyeongrim	b a k dʒ j əʊ ŋ ɡ ɹ ɪ m
bakhaehaneun	b a k h iː h a n j uː n
bakhaesang	b a k h iː s a ŋ
bakhige	b a k h aɪ dʒ
bakhigo	b a k h ɪ ɡ əʊ
bakhiji	b a k h ɪ dʒ i
bakhil	b a k h ɪ l
bakhimyeonseo	b a k h ɪ m j əʊ n s eɪ əʊ
bakhin	b a k h ɪ n
bakhinda	b a k h ɪ n d ə
bakhyeja	b a k h ɪ ɛ dʒ ə
bakhyeojiji	b a k h j əʊ dʒ ɪ dʒ i
bakhyeojil	b a k h j əʊ dʒ ɪ l
bakhyeojusigi	b a k h j əʊ dʒ uː s ɪ ɡ ɪ
bakhyeojyeo	b a k h j əʊ dʒ ɪ eɪ əʊ
bakhyeojyeotda	b a k h j əʊ dʒ j əʊ t d ə
bakhyeojyeoya	b a k h j əʊ dʒ ɪ ɪ ɔɪ ə
bakhyeonaegi	b a k h j əʊ n iː ɡ ɪ
bakhyeonaeji	b a k h j əʊ n iː dʒ i
bakhyeosseoyo	b a k h j əʊ s ɪ ɔɪ əʊ
bakhyeotda	b a k h j əʊ t d ə
bakhyeotgo	b a k h j əʊ t ɡ əʊ
bakhyeotjiman	b a k h j əʊ t dʒ ɪ m ə n
bakhyeotseupnida	b a k h j əʊ t s j uː p n ɪ d ə
bakjaehong	b a k j iː h ɒ ŋ
bakjaewan	b a k j iː w ə n
bakjeonghui	b a k dʒ ɪ ɒ ŋ h j uː i
bakjeonghuiga	b a k dʒ ɪ ɒ ŋ h j uː ɪ ɡ ə
bakjiwon	b a k dʒ iː w ə n
bakjongcheol	b a k dʒ ə ŋ tʃ ɪ ɒ l
bakjonghun	b a k dʒ ə ŋ h ʌ n
bakjunyeong	b a k dʒ ə n j əʊ ŋ
bakkate	b a k eɪ t
bakke	b a k
bakkeseoneun	b a k ɪ s ɪ əʊ n ʌ n
bakkeuro	b a k j uː ɹ əʊ
bakkuge	b a k j uː dʒ
bakkugikkaji	b a k j uː dʒ ɪ k a dʒ i
bakkugo	b a k j uː ɡ əʊ
bakkui	b a k j uː i
bakkul	b a k ʌ l
bakkun	b a k ʌ n
bakkuneun	b a k ə n j uː n
bakkusin	b a k j uː z ə n
bakkwieo	b a k w ɪ əʊ
bakkwieoseo	b a k w ɪ əʊ s ɪ əʊ
bakkwieotda	b a k w ɪ ɒ t d ə
bakkwieotdaneun	b a k w ɪ ɒ t d ɐ n j uː n
bakkwige	b a k w aɪ dʒ
bakkwigi	b a k w ɪ ɡ ɪ
bakkwigo	b a k w ɪ ɡ əʊ
bakkwimyeon	b a k w ɪ m j əʊ n
bakkwimyeonseo	b a k w ɪ m j əʊ n s eɪ əʊ
bakkwin	b a k w ɪ n
bakkwo	b a k w əʊ
bakkwoseo	b a k w əʊ s ɪ əʊ
bakkwotda	b a k w ɒ t d ə
bakkwotgo	b a k w ɒ t ɡ əʊ
bakmossiege	b a k m ɒ s iː dʒ
bakmossineun	b a k m ɒ s aɪ n ʌ n
bakmossireul	b a k m ɒ s aɪə ɹ ʌ l
bakmulgwanjang	b a k m ə l ɡ w a n dʒ a ŋ
bakmulgwanui	b a k m ə l ɡ w a n j uː i
bakmunyakryeeseo	b a k m ə n ɪ a k ɹ ɪ iː s eɪ əʊ
bakmyeolhago	b a k m j əʊ l h eɪ ɡ əʊ
bakmyeongjae	b a k m j əʊ ŋ j iː
baksa	b a k s ə
baksamo	b a k s ə m əʊ
baksamoeseo	b a k s ɐ m əʊ s eɪ əʊ
baksaneun	b a k s ɐ n j uː n
baksangjin	b a k s ɐ ŋ dʒ ɪ n
bakseu	b a k s j uː
baksim	b a k s ɪ m
bakssi	b a k s i
bakssiege	b a k s iː dʒ
bakssiga	b a k s ɪ ɡ ə
bakssineun	b a k s aɪ n ʌ n
bakssireul	b a k s aɪə ɹ ʌ l
bakssiui	b a k s ɪ j uː i
baksuchyeojuneun	b a k s ə tʃ j əʊ dʒ uː n j uː n
baksureul	b a k s ə ɹ uː l
baksuwa	b a k s j uː w ə
baktalhandaneun	b a k t ɐ l h a n d ɐ n j uː n
bakteriaui	b a k t iə ɹ i ɔː i
bakwi	b a k w i
bakwiga	b a k w ɪ ɡ ə
bal	b a l
balbudoenda	b a l b j uː d əʊ n d ə
balbuga	b a l b uː ɡ ə
balbureul	b a l b j ʊə ɹ uː l
balbyeongryuri	b a l b j əʊ ŋ ɡ r j uː ɹ i
baldalhamyeonseo	b ɔː l d ɐ l h a m j əʊ n s eɪ əʊ
baldalhaneun	b ɔː l d ɐ l h a n j uː n
baldalro	b ɔː l d a l ɹ əʊ
baldanieotda	b ɔː l d ɐ n ɪ ɒ t d ə
baldodumhaetseupnida	b ɔː l d ə d ʌ m h iː t s j uː p n ɪ d ə
baldongdwae	b ɔː l d ə ŋ d w iː
baldonghae	b ɔː l d ə ŋ h iː
balgeoreumeul	b a l dʒ ɪ ɒ ɹ uː m j uː l
balgeubeul	b a l dʒ j uː b j uː l
balgibujeonchiryoje	b a l dʒ ɪ b j uː dʒ ɪ ɒ n tʃ ə ɹ ɪ əʊ dʒ
balgiri	b a l dʒ iə ɹ i
balgul	b a l ɡ ʌ l
balgulhaetseupnida	b a l ɡ ə l h iː t s j uː p n ɪ d ə
balgultimjangeun	b a l ɡ ə l t ɪ m dʒ ɐ n dʒ j uː n
balgyeondoen	b a l dʒ j əʊ n d əʊ n
balgyeondwaesseumyeo	b a l dʒ j əʊ n d w iː s j uː m ɪ eɪ əʊ
balgyeondwaetda	b a l dʒ j əʊ n d w iː t d ə
balgyeondwaetgo	b a l dʒ j əʊ n d w iː t ɡ əʊ
balgyeondwaetseupnida	b a l dʒ j əʊ n d w iː t s j uː p n ɪ d ə
balgyeongwa	b a l dʒ j əʊ ŋ w ə
balgyeonhaesseul	b a l dʒ j əʊ n h iː s j uː l
balgyeonhaetdaneun	b a l dʒ j əʊ n h iː t d ɐ n j uː n
balgyeonhaetseupnida	b a l dʒ j əʊ n h iː t s j uː p n ɪ d ə
balgyeonhagiga	b a l dʒ j əʊ n h a dʒ ɪ ɡ ə
balgyeonhan	b a l dʒ j əʊ n h ə n
balgyeonhandageona	b a l dʒ j əʊ n h a n d eɪ dʒ əʊ n ə
balhaengindeurege	b a l h iː ŋ ɡ ɪ n d j uː ɹ ɛ dʒ
balhaengjusigui	b a l h iː ŋ dʒ uː s ɪ ɡ w i
balhaengjusik	b a l h iː ŋ dʒ uː s ɪ k
balhwihaneunya	b a l h w ɪ h ɐ n j uː n j ə
balhyeondoejamaja	b a l h j əʊ n d əʊ dʒ ɐ m ɑː dʒ ə
balhyo	b a l h ɪ əʊ
balhyodoel	b a l h ɪ ɒ d əʊ l
baljachwineun	b a l dʒ ɐ tʃ w aɪ n ʌ n
baljeon	b a l dʒ ɪ ə n
baljeoneul	b a l dʒ ɪ əʊ n ʌ l
baljeonsikineun	b a l dʒ ɪ ɒ n s ɪ k aɪ n ʌ n
baljeonsikyeo	b a l dʒ ɪ ɒ n s ɪ k ɪ eɪ əʊ
baljeonso	b a l dʒ ɪ ɒ n s əʊ
baljeonsoro	b a l dʒ ɪ ə n s ɔː ɹ əʊ
baljinhaneun	b a l dʒ ɪ n h a n j uː n
baljoksikin	b a l dʒ ə k s ɪ k ɪ n
balkkeunhamyeo	b ɔː l k j uː n h a m ɪ eɪ əʊ
balmogeul	b ɑː m əʊ dʒ ʌ l
balmyeong	b ɑː m j əʊ ŋ
balmyeongdoen	b ɑː m j əʊ ŋ d əʊ n
balmyeonghan	b ɑː m j əʊ ŋ h ə n
balmyeongpumieotjyo	b ɑː m j əʊ ŋ p j uː m ɪ ɒ t dʒ ɪ əʊ
balppaemhada	b a l p iː m h ɑː d ə
balpyochiboda	b a l p ɪ ɒ tʃ ɪ b əʊ d ə
balpyodoeneun	b a l p ɪ ɒ d əʊ n j uː n
balpyoe	b a l p ɪ əʊ
balpyohaeseo	b a l p ɪ əʊ h iː s eɪ əʊ
balpyohaetda	b a l p ɪ əʊ h iː t d ə
balpyohago	b a l p ɪ əʊ h eɪ ɡ əʊ
balpyohaji	b a l p ɪ əʊ h a dʒ i
balpyohamyeo	b a l p ɪ əʊ h ɐ m ɪ eɪ əʊ
balpyohamyeon	b a l p ɪ əʊ h ɐ m j əʊ n
balpyohan	b a l p ɪ əʊ h a n
balpyohaneun	b a l p ɪ əʊ h ɐ n j uː n
balpyoini	b a l p ɪ ɔɪ n i
balpyoneun	b a l p ɪ əʊ n ʌ n
balpyoreul	b a l p ɪ ɔː ɹ uː l
balralhan	b a l ɹ a l h ə n
balrarereul	b a l ɹ eə ɹ uː l
balsa	b ɔː l s ə
balsadoen	b ɔː l s ɐ d əʊ n
balsadoeneun	b ɔː l s ɐ d əʊ n j uː n
balsae	b ɔː l s iː
balsaeng	b ɔː l s iː ŋ
balsaenghae	b ɔː l s iː ŋ h iː
balsaenghaetda	b ɔː l s iː ŋ h iː t d ə
balsaenghaetgo	b ɔː l s iː ŋ h iː t ɡ əʊ
balsaenghaetseupnida	b ɔː l s iː ŋ h iː t s j uː p n ɪ d ə
balsaenghagi	b ɔː l s iː ŋ h ɑː ɡ ɪ
balsaenghago	b ɔː l s iː ŋ h eɪ ɡ əʊ
balsaenghaja	b ɔː l s iː ŋ h ɑː dʒ ə
balsaenghal	b ɔː l s iː ŋ h əl
balsaenghan	b ɔː l s iː ŋ h ə n
balsaenghaneun	b ɔː l s iː ŋ h a n j uː n
balsahaetda	b ɔː l s ɐ h iː t d ə
balsahaetdeon	b ɔː l s ɐ h iː t d ɪ ə n
balsahaetneunde	b ɔː l s ɐ h iː t n j uː n d
balsahal	b ɔː l s a h əl
balsaneun	b ɔː l s ɐ n j uː n
balsanhago	b ɔː l s ɐ n h eɪ ɡ əʊ
balsareul	b ɔː l s eə ɹ ʌ l
balsonghan	b ɔː l s əʊ ŋ h ə n
baltakdoen	b ɒ l t ɐ k d əʊ n
bam	b a m
bame	b eɪ m
bamedo	b a m iː d əʊ
bameul	b a m j uː l
bameun	b a m j uː n
bami	b ɑː m i
bamsae	b a m s iː
bamsaem	b a m s iː m
ban	b a n
banana	b ɐ n ɑː n ə
banananeun	b a n ɐ n a n j uː n
bananawa	b a n ɐ n ɑː w ə
banbak	b a n b a k
banbakhaetda	b a n b ɐ k h iː t d ə
banbakhago	b a n b ɐ k h eɪ ɡ əʊ
banbakhaneun	b a n b ɐ k h a n j uː n
banbalhaetseupnida	b a n b ɐ l h iː t s j uː p n ɪ d ə
banbokdoenda	b a n b ə k d əʊ n d ə
banbokdwaetda	b a n b ə k d w iː t d ə
banbokhaji	b a n b ə k h a dʒ i
banbokhaneun	b a n b ə k h a n j uː n
banbokjeogeuro	b a n b ə k dʒ ɪ əʊ dʒ j uː ɹ əʊ
banbupae	b a n b j uː p iː
banchaneul	b a n tʃ ɐ n j uː l
bandae	b a n d iː
bandaebiyureun	b a n d iː b ɪ j uː ɹ uː n
bandaehago	b a n d iː h eɪ ɡ əʊ
bandaehalji	b a n d iː h a l dʒ i
bandaehandago	b a n d iː h ɐ n d eɪ ɡ əʊ
bandaehandaneun	b a n d iː h a n d ɐ n j uː n
bandaehaneun	b a n d iː h a n j uː n
bandaehaneundeda	b a n d iː h a n j uː n d ɛ d ə
bandaehayeotseupnida	b a n d iː h eɪ ɪ ɒ t s j uː p n ɪ d ə
bandaepyeonui	b a n d iː p j əʊ n j uː i
bandaereul	b a n d eə ɹ uː l
bandaero	b a n d eə ɹ əʊ
bandaeyureun	b a n d iː j uː ɹ uː n
bandeobureominjudang	b a n d ɪ ɒ b j ʊə ɹ ɪ ɒ m ɪ n dʒ uː d a ŋ
bandeunghal	b a n d j uː ŋ h əl
bandeusi	b a n d j uː s i
bando	b a n d əʊ
bandoui	b a n d uː i
bane	b eɪ n
baneungeul	b a n j uː n dʒ j uː l
baneunghaetneunjineun	b a n j uː ŋ h iː t n j uː n dʒ aɪ n ʌ n
baneunginikka	b a n j uː ŋ ɡ ɪ n ɪ k ə
baneungipnida	b a n j uː ŋ ɡ ɪ p n ɪ d ə
bang	b a ŋ
banga	b a ŋ ɡ ə
bangameul	b a ŋ ɡ ɐ m j uː l
bangan	b a ŋ ɡ ə n
bangando	b a ŋ ɡ a n d əʊ
bangane	b a ŋ ɡ eɪ n
banganeul	b a ŋ ɡ ɐ n j uː l
banganeuro	b a ŋ ɡ ɐ n j uː ɹ əʊ
bangani	b a ŋ ɡ ɑː n i
banganigineun	b a ŋ ɡ ɐ n ɪ dʒ ɪ n j uː n
bangapdeungrokgeum	b a ŋ ɡ ɐ p d j uː ŋ ɡ ɹ ə k dʒ iː ə m
bangapseupnida	b a ŋ ɡ ɐ p s j uː p n ɪ d ə
bangasoereul	b a ŋ ɡ ɐ s əʊ ə ɹ uː l
bangbeobe	b a ŋ b ɪ əʊ b
bangbeobeul	b a ŋ b ɪ əʊ b ʌ l
bangbeobeun	b a ŋ b ɪ əʊ b ʌ n
bangbeobeuro	b a ŋ b ɪ əʊ b j uː ɹ əʊ
bangbeobeuroinga	b a ŋ b ɪ əʊ b j uː ɹ əʊ ɪ ŋ ɡ ə
bangbeobi	b a ŋ b ɪ əʊ b aɪ
bangbeop	b a ŋ b ɪ ə p
bangbeopbakke	b a ŋ b ɪ ɒ p b a k
bangbukhagido	b a ŋ b ə k h ɐ dʒ iː d əʊ
bangcheonggaegege	b a ŋ tʃ ə ŋ ɡ iː dʒ ɛ dʒ
bangcheonggaegeuro	b a ŋ tʃ ə ŋ ɡ iː dʒ j uː ɹ əʊ
bangchi	b a ŋ tʃ aɪ
bangchidwae	b a ŋ tʃ ɪ d w iː
bangchihan	b a ŋ tʃ ɪ h a n
bangchimeul	b a ŋ tʃ aɪ m ʌ l
bangchimida	b a ŋ tʃ ɪ m ɪ d ə
bangchuldoegido	b a ŋ tʃ ə l d əʊ dʒ iː d əʊ
bangchuldoeneun	b a ŋ tʃ ə l d əʊ n j uː n
bangdo	b a ŋ d əʊ
bange	b a n dʒ
bangeo	b a n dʒ ɪ ɒ
bangeojeogin	b a n dʒ ɪ ɒ dʒ ɪ ɒ dʒ ɪ n
banggong	b a ŋ ɡ ɒ ŋ
banggongmang	b a ŋ ɡ ɒ ŋ m a ŋ
banghaega	b a ŋ h iː ɡ ə
banghaehan	b a ŋ h iː h ə n
banghaejadeuridamyeo	b a ŋ h iː dʒ a d j uː ɹ ɪ d ɐ m ɪ eɪ əʊ
banghaekkajineun	b a ŋ h iː k a dʒ aɪ n ʌ n
banghage	b a ŋ h ɪ dʒ
banghan	b a ŋ h ə n
banghwabogi	b a ŋ h w ə b əʊ ɡ ɪ
banghwabogiraneun	b a ŋ h w ə b ɒ dʒ ə ɹ a n j uː n
banghyange	b a ŋ h j a ŋ
banghyangeul	b a ŋ h j a ŋ j uː l
banghyangeun	b a ŋ h j a ŋ j uː n
banghyangeuro	b a ŋ h j a ŋ j uː ɹ əʊ
banghyanggwa	b a ŋ h j a ŋ ɡ w ə
banghyangseongeul	b a ŋ h j a ŋ s ɪ ɒ n dʒ j uː l
banghyangui	b a ŋ h j a ŋ w i
bangimun	b a ŋ ɡ ɪ m ʌ n
bangjeseon	b a ŋ dʒ ɪ s ɪ ə n
bangjeungirago	b a ŋ dʒ j uː ŋ ɡ ə ɹ eɪ ɡ əʊ
bangji	b a ŋ dʒ i
bangjihagi	b a ŋ dʒ ɪ h ɑː ɡ ɪ
bangjihago	b a ŋ dʒ ɪ h eɪ ɡ əʊ
bangjireul	b a ŋ dʒ aɪə ɹ ʌ l
bangjjagi	b a ŋ dʒ ɑː ɡ ɪ
bangjjagui	b a ŋ dʒ a ɡ w i
bangjoje	b a ŋ dʒ əʊ dʒ
bangmireul	b a ŋ m aɪə ɹ ʌ l
bangmun	b a ŋ m ʌ n
bangmuneseo	b a ŋ m ə n ɪ s eɪ əʊ
bangmunhae	b a ŋ m ə n h iː
bangmunhaetdaga	b a ŋ m ə n h iː t d ɑː ɡ ə
bangmunhal	b a ŋ m ʌ n h əl
bangmunhan	b a ŋ m ʌ n h ə n
bangmunhandaneun	b a ŋ m ə n h a n d ɐ n j uː n
bangmunjadeurui	b a ŋ m ə n dʒ a d j uː ɹ uː i
bangmunjin	b a ŋ m ə n dʒ ɪ n
bangmyeoneseo	b a ŋ m j əʊ n ɪ s eɪ əʊ
bangpaje	b a ŋ p eɪ dʒ
bangryuro	b a ŋ ɡ r j uː ɹ əʊ
bangsan	b a ŋ s ə n
bangsanbiri	b a ŋ s ɐ n b iə ɹ i
bangsaneopchein	b a ŋ s eɪ n ɒ p tʃ iː n
bangsaneung	b a ŋ s ɐ n j uː ŋ
bangsaneunge	b a ŋ s ɐ n j uː n dʒ
bangsanghun	b a ŋ s ɐ ŋ h ʌ n
bangsaseongtanso	b a ŋ s eɪ s ə ŋ t a n s əʊ
bangsaseonryang	b a ŋ s eɪ s ə n r j a ŋ
bangseungbeom	b a ŋ s j uː ŋ b ɪ ə m
bangsige	b a ŋ s aɪ dʒ
bangsigeul	b a ŋ s aɪ dʒ ʌ l
bangsigeun	b a ŋ s aɪ dʒ ʌ n
bangsigeuro	b a ŋ s aɪ dʒ j uː ɹ əʊ
bangsigeurodeun	b a ŋ s aɪ dʒ j uː ɹ əʊ d ʌ n
bangsigida	b a ŋ s ɪ dʒ ɪ d ə
bangsigui	b a ŋ s ɪ ɡ w i
bangsong	b a ŋ s ɒ ŋ
bangsongdo	b a ŋ s ɒ ŋ d əʊ
bangsongdoenda	b a ŋ s ɒ ŋ d əʊ n d ə
bangsongeseo	b a ŋ s ɒ n dʒ ɪ s eɪ əʊ
bangsongeul	b a ŋ s ɒ n dʒ j uː l
bangsonghaji	b a ŋ s ɒ ŋ h a dʒ i
bangsongsadeurui	b a ŋ s ɒ ŋ s a d j uː ɹ uː i
bangsongsaga	b a ŋ s ɒ ŋ s ɑː ɡ ə
bangsongwiwonhoeneun	b a ŋ s ɒ ŋ w iː w ə n h əʊ n j uː n
bangtansonyeondani	b a ŋ t ɐ n s ɒ n j əʊ n d ɑː n i
bangtongwi	b a ŋ t ɒ ŋ w i
bangune	b a ŋ ɡ j uː n
banguni	b a ŋ ɡ uː n i
bangyeoge	b a ŋ j əʊ dʒ
bangyeojundamyeo	b a ŋ j əʊ dʒ ʌ n d ɐ m ɪ eɪ əʊ
bangyeokdanggugeun	b a ŋ j əʊ k d a ŋ ɡ j uː dʒ j uː n
bangyeongdoenda	b a ŋ j əʊ ŋ d əʊ n d ə
banhae	b a n h iː
banhaeseo	b a n h iː s eɪ əʊ
banhaetjiman	b a n h iː t dʒ ɪ m ə n
banhaetjyo	b a n h iː t dʒ ɪ əʊ
banhaneun	b a n h ɐ n j uː n
banhangaga	b a n h ɐ ŋ ɡ ɑː ɡ ə
banhangeun	b a n h ɐ n dʒ j uː n
banhwan	b a n h w ə n
banhwanjeomeul	b a n h w ɐ n dʒ ɪ əʊ m ʌ l
banjamsu	b a n dʒ a m s uː
banjamsuseon	b a n dʒ ɐ m s uː s ɪ ə n
banjeomi	b a n dʒ ɪ əʊ m i
banjeone	b a n dʒ ɪ əʊ n
banjjeumipnida	b a n dʒ j uː m ɪ p n ɪ d ə
banjjok	b a n dʒ ɒ k
banjugeul	b a n dʒ uː dʒ j uː l
banminjujeok	b a n m ɪ n dʒ uː dʒ ɪ ɒ k
banmunhaetda	b a n m ə n h iː t d ə
banmunhamyeonseo	b a n m ə n h a m j əʊ n s eɪ əʊ
banmunjaein	b a n m ə n j iː ɪ n
banmyeon	b a n m j əʊ n
bannajeol	b a n eɪ dʒ ɒ l
bannaphage	b a n a f ɪ dʒ
bannaphamyeon	b a n ɐ f a m j əʊ n
banpum	b a n p ə m
banpumdanghan	b a n p ə m d a ŋ h ə n
banryeodongmul	b a n r j əʊ d ɒ ŋ m ʌ l
banryeodongmulgwa	b a n r j əʊ d ɒ ŋ m ʌ l ɡ w ə
banryeodongmureul	b a n r j əʊ d ɒ ŋ m j ʊə ɹ uː l
banryeodwaetda	b a n r j əʊ d w iː t d ə
banryeogyeoneul	b a n r j əʊ dʒ j əʊ n j uː l
banryeogyeoneun	b a n r j əʊ dʒ j əʊ n j uː n
banryeohaji	b a n r j əʊ h a dʒ i
banseokgwado	b a n s ɪ ə k ɡ w ɑː d əʊ
banseongdo	b a n s ɪ ɒ ŋ d əʊ
banseonghaeya	b a n s ɪ ɒ ŋ h iː j ə
banseonghago	b a n s ɪ ə ŋ h eɪ ɡ əʊ
banseonghal	b a n s ɪ ɒ ŋ h əl
banssik	b a n s ɪ k
bantomagi	b a n t ə m ɑː ɡ ɪ
bantomaknanda	b a n t ə m ɐ k n a n d ə
