-o	ɔ
abrigando	ɐ b ɹ i ɡ ɐ̃ ŋ d ʊ
abrigar	ɐ b ɹ i ɡ a ɹ
abrigar-se	ɐ b ɹ i ɡ a ɹ s ɨ
abrigaram	ɐ b ɹ i ɡ a ɾ ɐ̃ʊ̃
abrigava	ɐ b ɹ i ɡ a v ɐ
abrigo	ɐ b ɹ i ɡ ʊ
abrigos	ɐ b ɹ i ɡ ʊ ʃ
abrigou	ɐ b ɹ i ɡ o w
abrigue	ɐ b ɹ i ɡ ɨ
abrigá	ɐ b ɹ i ɡ a
abril	ɐ b ɹ i l
abrilhanta	ɐ b ɹ i ʎ ɐ̃ ŋ t ɐ
abrimos	ɐ b ɹ i m ʊ ʃ
abrindo	ɐ b ɹ i ŋ d ʊ
abrindo-se	ɐ b ɹ i ŋ d ʊ s ɨ
abrio	ɐ b ɹ iʊ
abrir	ɐ b ɹ i ɹ
abrir-lhe	ɐ b ɹ i ɹ ʎ ɨ
abrir-me	ɐ b ɹ i ɹ m ɨ
abrir-se	ɐ b ɹ i ɹ s ɨ
abrir-te	ɐ b ɹ i ɹ t ɨ
abrira	ɐ b ɹ i ɾ ɐ
abriram	ɐ b ɹ i ɾ ɐ̃ʊ̃
abriram-se	ɐ b ɹ i ɾ ɐ̃ʊ̃ s ɨ
abrirei	ɐ b ɹ i ɾ eɪ
abrirem	ɐ b ɹ i ɾ eɪ ŋ
abrires	ɐ b ɹ i ɾ ɨ ʃ
abriria	ɐ b ɹ i ɾ i ɐ
abririam	ɐ b ɹ i ɾ i ɐ̃ʊ̃
abrirá	ɐ b ɹ i ɾ a
abrirão	ɐ b ɹ i ɾ ɐ̃ʊ̃
abris	ɐ b ɹ i ʃ
abrisse	ɐ b ɹ i s ɨ
abrissem	ɐ b ɹ i s eɪ ŋ
abriste	ɐ b ɹ i ʃ t ɨ
abristes	ɐ b ɹ i ʃ t ɨ ʃ
abriu	ɐ b ɹ iʊ
abriu-a	ɐ b ɹ iʊ a
abriu-lhe	ɐ b ɹ iʊ ʎ ɨ
abriu-me	ɐ b ɹ iʊ m ɨ
abriu-o	ɐ b ɹ iʊ ɔ
abriu-se	ɐ b ɹ iʊ s ɨ
abriuse	ɐ b ɹ i u z ɨ
abro	a b ɹ ʊ
abrochado	ɐ b ɹ u ʃ a d ʊ
abrochador	ɐ b ɹ u ʃ ɐ d o ɹ
abrogado	ɐ b ɹ u ɡ a d ʊ
abrolham	ɐ b ɹ o ʎ ɐ̃ʊ̃
abrolhando	ɐ b ɹ u ʎ ɐ̃ ŋ d ʊ
abrolhavam	ɐ b ɹ u ʎ a v ɐ̃ʊ̃
abrolhos	ɐ b ɹ o ʎ ʊ ʃ
abroquelar	ɐ b ɹ u k ɨ l a ɹ
abrupta	ɐ b ɹ u p t ɐ
abruptamente	ɐ b ɹ u p t ɐ m eɪ ŋ t ɨ
abruptas	ɐ b ɹ u p t ɐ ʃ
abrupto	ɐ b ɹ u p t ʊ
abruptos	ɐ b ɹ u p t ʊ ʃ
abrutada	ɐ b ɹ u t a d ɐ
abrão	ɐ b ɹ ɐ̃ʊ̃
abs	a b ʃ
absconsa	ɐ b s k o ŋ s ɐ
absconsas	ɐ b s k o ŋ s ɐ ʃ
absconso	ɐ b s k o ŋ s ʊ
abscôndito	ɐ b s k o ŋ d i t ʊ
absinto	ɐ b s i ŋ t ʊ
abso	a b s ʊ
absoluta	ɐ b s u l u t ɐ
absolutamente	ɐ b s u l u t ɐ m eɪ ŋ t ɨ
absolutas	ɐ b s u l u t ɐ ʃ
absolutismo	ɐ b s u l u t i ʒ m ʊ
absoluto	ɐ b s u l u t ʊ
absolve	ɐ b s ɔ l v ɨ
absolvel	ɐ b s o l v ɛ l
absolvemos	ɐ b s u l v e m ʊ ʃ
absolvendo	ɐ b s u l v eɪ ŋ d ʊ
absolver	ɐ b s u l v e ɹ
absolvesse	ɐ b s u l v e s ɨ
absolvia	ɐ b s u l v i ɐ
absolvido	ɐ b s u l v i d ʊ
absolvição	ɐ b s u l v i s ɐ̃ʊ̃
absolvições	ɐ b s u l v i s õ j ʃ
absolvê	ɐ b s u l v e
absorpção	ɐ b s u ɾ ə p s ɐ̃ʊ̃
absorta	ɐ b s o ɾ ə t ɐ
absorto	ɐ b s o ɾ ə t ʊ
absortos	ɐ b s ɔ ɾ ə t ʊ ʃ
absorve	ɐ b s ɔ ɾ ə v ɨ
absorvem	ɐ b s ɔ ɾ ə v eɪ ŋ
absorvendo	ɐ b s u ɾ ə v eɪ ŋ d ʊ
absorvendo-o	ɐ b s u ɾ ə v eɪ ŋ d ʊ ɔ
absorvente	ɐ b s u ɾ ə v eɪ ŋ t ɨ
absorventes	ɐ b s u ɾ ə v eɪ ŋ t ɨ ʃ
absorver	ɐ b s u ɾ ə v e ɹ
absorver-se	ɐ b s u ɾ ə v e ɹ s ɨ
absorveram	ɐ b s u ɾ ə v e ɾ ɐ̃ʊ̃
absorvesse	ɐ b s u ɾ ə v e s ɨ
absorveu	ɐ b s u ɾ ə v eʊ
absorvi-me	ɐ b s u ɾ ə v i m ɨ
absorvia	ɐ b s u ɾ ə v i ɐ
absorviam	ɐ b s u ɾ ə v i ɐ̃ʊ̃
absorvida	ɐ b s u ɾ ə v i d ɐ
absorvido	ɐ b s u ɾ ə v i d ʊ
absorvidos	ɐ b s u ɾ ə v i d ʊ ʃ
absorvêra	ɐ b s u ɾ ə v e ɾ ɐ
absorvêssemos	ɐ b s u ɾ ə v e s ɨ m ʊ ʃ
absorção	ɐ b s u ɾ ə s ɐ̃ʊ̃
absorções	ɐ b s u ɾ ə s õ j ʃ
abstemo	ɐ b s t e m ʊ
abstemos	ɐ b s t e m ʊ ʃ
abstenção	ɐ b s t eɪ ŋ s ɐ̃ʊ̃
abster	ɐ b s t e ɹ
abstinencia	ɐ b s t i n eɪ ŋ s i ɐ
abstinentes	ɐ b s t i n eɪ ŋ t ɨ ʃ
abstinha	ɐ b s t i ɲ ɐ
abstinência	ɐ b s t i n eɪ ŋ s j ɐ
abstive	ɐ b s t i v ɨ
abstracto	ɐ b s t ɹ a t ʊ
abstracção	ɐ b s t ɹ a s ɐ̃ʊ̃
abstrada	ɐ b s t ɹ a d ɐ
abstrahindo	ɐ b s t ɹ ɐ i ŋ d ʊ
abstraidamente	ɐ b s t ɹ aɪ d ɐ m eɪ ŋ t ɨ
abstrata	ɐ b s t ɹ a t ɐ
abstratas	ɐ b s t ɹ a t ɐ ʃ
abstrato	ɐ b s t ɹ a t ʊ
abstratos	ɐ b s t ɹ a t ʊ ʃ
abstração	ɐ b s t ɹ ɐ s ɐ̃ʊ̃
abstrações	ɐ b s t ɹ ɐ s õ j ʃ
abstraía	ɐ b s t ɹ ɐ i ɐ
abstraíam	ɐ b s t ɹ ɐ i ɐ̃ʊ̃
abstrusa	ɐ b s t ɹ u z ɐ
abstrusas	ɐ b s t ɹ u z ɐ ʃ
abstrusos	ɐ b s t ɹ u z ʊ ʃ
abstêmio	ɐ b s t e m j ʊ
absurda	ɐ b s u ɾ ə d ɐ
absurdamente	ɐ b s u ɾ ə d ɐ m eɪ ŋ t ɨ
absurdas	ɐ b s u ɾ ə d ɐ ʃ
absurdo	ɐ b s u ɾ ə d ʊ
absurdos	ɐ b s u ɾ ə d ʊ ʃ
abtbito	ɐ b t b i t ʊ
abu	ɐ b u
abufando	ɐ b u f ɐ̃ ŋ d ʊ
abunda	ɐ b ũ ŋ d ɐ
abundam	ɐ b ũ ŋ d ɐ̃ʊ̃
abundancia	ɐ b ũ ŋ d ɐ̃ ŋ s i ɐ
abundancias	ɐ b ũ ŋ d ɐ̃ ŋ s i ɐ ʃ
abundante	ɐ b ũ ŋ d ɐ̃ ŋ t ɨ
abundantemente	ɐ b ũ ŋ d ɐ̃ ŋ t ɨ m eɪ ŋ t ɨ
abundantes	ɐ b ũ ŋ d ɐ̃ ŋ t ɨ ʃ
abundava	ɐ b ũ ŋ d a v ɐ
abundavam	ɐ b ũ ŋ d a v ɐ̃ʊ̃
abundância	ɐ b ũ ŋ d ɐ̃ ŋ s j ɐ
abundâncias	ɐ b ũ ŋ d ɐ̃ ŋ s j ɐ ʃ
abunã	ɐ b u n ɐ̃
abusa	ɐ b u z ɐ
abusado	ɐ b u z a d ʊ
abusam	ɐ b u z ɐ̃ʊ̃
abusando	ɐ b u z ɐ̃ ŋ d ʊ
abusar	ɐ b u z a ɹ
abusara	ɐ b u z a ɾ ɐ
abusasse	ɐ b u z a s ɨ
abusava	ɐ b u z a v ɐ
abusavam	ɐ b u z a v ɐ̃ʊ̃
abusei	ɐ b u z eɪ
abusiva	ɐ b u z i v ɐ
abusivamente	ɐ b u z i v ɐ m eɪ ŋ t ɨ
abusivas	ɐ b u z i v ɐ ʃ
abuso	ɐ b u z ʊ
abusos	ɐ b u z ʊ ʃ
abusou	ɐ b u z o w
abusões	ɐ b u z õ j ʃ
abutre	ɐ b u t ɹ ɨ
abutres	ɐ b u t ɹ ɨ ʃ
abydos	ɐ b i d ʊ ʃ
abysmasse	ɐ b i ʒ m a s ɨ
abysmo	ɐ b i ʒ m ʊ
abysmos	ɐ b i ʒ m ʊ ʃ
abóbada	ɐ b ɔ b ɐ d ɐ
abóbadas	ɐ b ɔ b ɐ d ɐ ʃ
abóboda	ɐ b ɔ b u d ɐ
abóbora	ɐ b ɔ b u ɾ ɐ
abóboras	ɐ b ɔ b u ɾ ɐ ʃ
abúndskncia	ɐ b ũ ŋ d s k n s i ɐ
ac	a k
acaba	ɐ k a b ɐ
acabada	ɐ k ɐ b a d ɐ
acabadas	ɐ k ɐ b a d ɐ ʃ
acabado	ɐ k ɐ b a d ʊ
acabados	ɐ k ɐ b a d ʊ ʃ
acabaes	ɐ k ɐ b a ɨ ʃ
acabai	ɐ k ɐ b aɪ
acabais	ɐ k ɐ b aɪ ʃ
acabal	ɐ k ɐ b ɑ l
acabam	ɐ k a b ɐ̃ʊ̃
acabamos	ɐ k ɐ b ɐ̃ m ʊ ʃ
acabando	ɐ k ɐ b ɐ̃ ŋ d ʊ
acabar	ɐ k ɐ b a ɹ
acabara	ɐ k ɐ b a ɾ ɐ
acabaram	ɐ k ɐ b a ɾ ɐ̃ʊ̃
acabaram-se	ɐ k ɐ b a ɾ ɐ̃ʊ̃ s ɨ
acabarei	ɐ k ɐ b ɐ ɾ eɪ
acabarem	ɐ k ɐ b a ɾ eɪ ŋ
acabaremos	ɐ k ɐ b ɐ ɾ e m ʊ ʃ
acabaria	ɐ k ɐ b ɐ ɾ i ɐ
acabarias	ɐ k ɐ b ɐ ɾ i ɐ ʃ
acabará	ɐ k ɐ b ɐ ɾ a
acabarão	ɐ k ɐ b ɐ ɾ ɐ̃ʊ̃
acabas	ɐ k a b ɐ ʃ
acabasse	ɐ k ɐ b a s ɨ
acabassem	ɐ k ɐ b a s eɪ ŋ
acabava	ɐ k ɐ b a v ɐ
acabavam	ɐ k ɐ b a v ɐ̃ʊ̃
acabe	ɐ k a b ɨ
acabe-se	ɐ k a b ɨ s ɨ
acabei	ɐ k ɐ b eɪ
acabem	ɐ k a b eɪ ŋ
acabemos	ɐ k ɐ b e m ʊ ʃ
acabes	ɐ k a b ɨ ʃ
acabo	ɐ k a b ʊ
acabou	ɐ k ɐ b o w
acabou-se	ɐ k ɐ b o w s ɨ
acabrunha	ɐ k ɐ b ɹ ũ ɲ ɐ
acabrunhada	ɐ k ɐ b ɹ ũ ɲ a d ɐ
acabrunhado	ɐ k ɐ b ɹ ũ ɲ a d ʊ
acabrunhadora	ɐ k ɐ b ɹ ũ ɲ ɐ d o ɾ ɐ
acabrunhadoramente	ɐ k ɐ b ɹ ũ ɲ ɐ d u ɾ ɐ m eɪ ŋ t ɨ
acabrunhados	ɐ k ɐ b ɹ ũ ɲ a d ʊ ʃ
acabrunhamento	ɐ k ɐ b ɹ ũ ɲ ɐ m eɪ ŋ t ʊ
acabrunhante	ɐ k ɐ b ɹ ũ ɲ ɐ̃ ŋ t ɨ
acabrunhava	ɐ k ɐ b ɹ ũ ɲ a v ɐ
acabrunhou	ɐ k ɐ b ɹ ũ ɲ o w
acabrunhá	ɐ k ɐ b ɹ ũ ɲ a
acabá	ɐ k ɐ b a
acabámos	ɐ k ɐ b a m ʊ ʃ
acabára	ɐ k ɐ b a ɾ ɐ
acabávamos	ɐ k ɐ b a v ɐ m ʊ ʃ
acabão	ɐ k ɐ b ɐ̃ʊ̃
acachapado	ɐ k ɐ ʃ ɐ p a d ʊ
acachoa	ɐ k ɐ ʃ o ɐ
acachoando	ɐ k ɐ ʃ u ɐ̃ ŋ d ʊ
acachoantes	ɐ k ɐ ʃ u ɐ̃ ŋ t ɨ ʃ
acacias	ɐ k ɐ s i ɐ ʃ
academia	ɐ k ɐ d ɨ m i ɐ
academias	ɐ k ɐ d ɨ m i ɐ ʃ
academiazinha	ɐ k ɐ d ɨ m i ɐ z i ɲ ɐ
academica	ɐ k ɐ d ɨ m i k ɐ
academico	ɐ k ɐ d ɨ m i k ʊ
academicos	ɐ k ɐ d ɨ m i k ʊ ʃ
acadeníi	ɐ k ɐ d ɨ n i i
académico	ɐ k ɐ d ɛ m i k ʊ
académicos	ɐ k ɐ d ɛ m i k ʊ ʃ
acadêmico	ɐ k ɐ d e m i k ʊ
acadêmicos	ɐ k ɐ d e m i k ʊ ʃ
acafelada	ɐ k ɐ f ɨ l a d ɐ
acafo	ɐ k a f ʊ
acalcanhado	ɐ k ɑ l k ɐ̃ ɲ a d ʊ
acalenta	ɐ k ɐ l eɪ ŋ t ɐ
acalentado	ɐ k ɐ l eɪ ŋ t a d ʊ
acalentando	ɐ k ɐ l eɪ ŋ t ɐ̃ ŋ d ʊ
acalentar	ɐ k ɐ l eɪ ŋ t a ɹ
acalentara	ɐ k ɐ l eɪ ŋ t a ɾ ɐ
acalentaram	ɐ k ɐ l eɪ ŋ t a ɾ ɐ̃ʊ̃
acalentasse	ɐ k ɐ l eɪ ŋ t a s ɨ
acalentava	ɐ k ɐ l eɪ ŋ t a v ɐ
acalentei	ɐ k ɐ l eɪ ŋ t eɪ
acalentou	ɐ k ɐ l eɪ ŋ t o w
acalentá	ɐ k ɐ l eɪ ŋ t a
acalma	ɐ k ɑ l m ɐ
acalma-se	ɐ k ɑ l m ɐ s ɨ
acalmado	ɐ k ɑ l m a d ʊ
acalmar	ɐ k ɑ l m a ɹ
acalmaram	ɐ k ɑ l m a ɾ ɐ̃ʊ̃
acalmasse	ɐ k ɑ l m a s ɨ
acalmava	ɐ k ɑ l m a v ɐ
acalmou	ɐ k ɑ l m o w
acalmá	ɐ k ɑ l m a
acaloradamente	ɐ k ɐ l u ɾ ɐ d ɐ m eɪ ŋ t ɨ
acamada	ɐ k ɐ m a d ɐ
acamados	ɐ k ɐ m a d ʊ ʃ
acamam	ɐ k ɐ̃ m ɐ̃ʊ̃
acamando	ɐ k ɐ m ɐ̃ ŋ d ʊ
acamaradar	ɐ k ɐ m ɐ ɾ ɐ d a ɹ
acamarademos	ɐ k ɐ m ɐ ɾ ɐ d e m ʊ ʃ
acampada	ɐ k ɐ̃ m p a d ɐ
acampado	ɐ k ɐ̃ m p a d ʊ
acampados	ɐ k ɐ̃ m p a d ʊ ʃ
acampam	ɐ k ɐ̃ m p ɐ̃ʊ̃
acampamento	ɐ k ɐ̃ m p ɐ m eɪ ŋ t ʊ
acampamentos	ɐ k ɐ̃ m p ɐ m eɪ ŋ t ʊ ʃ
acampamos	ɐ k ɐ̃ m p ɐ̃ m ʊ ʃ
acampar	ɐ k ɐ̃ m p a ɹ
acampara	ɐ k ɐ̃ m p a ɾ ɐ
acamparam	ɐ k ɐ̃ m p a ɾ ɐ̃ʊ̃
acampavam	ɐ k ɐ̃ m p a v ɐ̃ʊ̃
acampou	ɐ k ɐ̃ m p o w
acampáramos	ɐ k ɐ̃ m p a ɾ ɐ m ʊ ʃ
acanalada	ɐ k ɐ n ɐ l a d ɐ
acanaladuras	ɐ k ɐ n ɐ l ɐ d u ɾ ɐ ʃ
acanalhado	ɐ k ɐ n ɐ ʎ a d ʊ
acanalhava	ɐ k ɐ n ɐ ʎ a v ɐ
acanga	ɐ k ɐ̃ ŋ ɡ ɐ
acanhada	ɐ k ɐ̃ ɲ a d ɐ
acanhadamente	ɐ k ɐ̃ ɲ ɐ d ɐ m eɪ ŋ t ɨ
acanhadas	ɐ k ɐ̃ ɲ a d ɐ ʃ
acanhado	ɐ k ɐ̃ ɲ a d ʊ
acanhados	ɐ k ɐ̃ ɲ a d ʊ ʃ
acanhamento	ɐ k ɐ̃ ɲ ɐ m eɪ ŋ t ʊ
acanhar	ɐ k ɐ̃ ɲ a ɹ
acanharam	ɐ k ɐ̃ ɲ a ɾ ɐ̃ʊ̃
acanhava	ɐ k ɐ̃ ɲ a v ɐ
acanhe	ɐ k ɐ̃ ɲ ɨ
acanhes	ɐ k ɐ̃ ɲ ɨ ʃ
acanho	ɐ k ɐ̃ ɲ ʊ
acanto	ɐ k ɐ̃ ŋ t ʊ
acantonados	ɐ k ɐ̃ ŋ t u n a d ʊ ʃ
acantonara	ɐ k ɐ̃ ŋ t u n a ɾ ɐ
acantonaram	ɐ k ɐ̃ ŋ t u n a ɾ ɐ̃ʊ̃
acantonou	ɐ k ɐ̃ ŋ t u n o w
acaparamento	ɐ k ɐ p ɐ ɾ ɐ m eɪ ŋ t ʊ
acapellado	ɐ k ɐ p ɨ l a d ʊ
acapitular	ɐ k ɐ p i t u l a ɹ
acapú	ɐ k ɐ p u
acaracu	ɐ k ɐ ɾ ɐ k u
acarape	ɐ k ɐ ɾ a p ɨ
acaraú	ɐ k ɐ ɾ ɐ u
acarecanga	ɐ k ɐ ɾ ɨ k ɐ̃ ŋ ɡ ɐ
acariciada	ɐ k ɐ ɾ i s i a d ɐ
acariciadas	ɐ k ɐ ɾ i s i a d ɐ ʃ
acariciado	ɐ k ɐ ɾ i s i a d ʊ
acariciador	ɐ k ɐ ɾ i s i ɐ d o ɹ
acarician	ɐ k ɐ ɾ i s i ɐ̃ ŋ
acariciando	ɐ k ɐ ɾ i s i ɐ̃ ŋ d ʊ
acariciar	ɐ k ɐ ɾ i s i a ɹ
acariciasse	ɐ k ɐ ɾ i s i a s ɨ
acariciava	ɐ k ɐ ɾ i s i a v ɐ
acariciavam	ɐ k ɐ ɾ i s i a v ɐ̃ʊ̃
acariciei	ɐ k ɐ ɾ i s i eɪ
acariciou	ɐ k ɐ ɾ i s i o w
acariciá	ɐ k ɐ ɾ i s i a
acaridar	ɐ k ɐ ɾ i d a ɹ
acarinhando	ɐ k ɐ ɾ i ɲ ɐ̃ ŋ d ʊ
acarinhar	ɐ k ɐ ɾ i ɲ a ɹ
acarinhavam	ɐ k ɐ ɾ i ɲ a v ɐ̃ʊ̃
acarinhou	ɐ k ɐ ɾ i ɲ o w
acaroados	ɐ k ɐ ɾ u a d ʊ ʃ
acaroazes	ɐ k ɐ ɾ u a z ɨ ʃ
acarreta	ɐ k ɐ ʁ ɛ t ɐ
acarretadas	ɐ k ɐ ʁ ɨ t a d ɐ ʃ
acarretado	ɐ k ɐ ʁ ɨ t a d ʊ
acarretam	ɐ k ɐ ʁ ɛ t ɐ̃ʊ̃
acarretando	ɐ k ɐ ʁ ɨ t ɐ̃ ŋ d ʊ
acarretar	ɐ k ɐ ʁ ɨ t a ɹ
acarretasse	ɐ k ɐ ʁ ɨ t a s ɨ
acarretava	ɐ k ɐ ʁ ɨ t a v ɐ
acarretavam	ɐ k ɐ ʁ ɨ t a v ɐ̃ʊ̃
acarreto	ɐ k ɐ ʁ ɛ t ʊ
acaru	ɐ k ɐ ɾ u
acarú	ɐ k ɐ ɾ u
acaso	ɐ k a z ʊ
acastellado	ɐ k ɐ ʃ t ɨ l a d ʊ
acastellados	ɐ k ɐ ʃ t ɨ l a d ʊ ʃ
acastellava	ɐ k ɐ ʃ t ɨ l a v ɐ
acata	ɐ k a t ɐ
acatada	ɐ k ɐ t a d ɐ
acatado	ɐ k ɐ t a d ʊ
acatados	ɐ k ɐ t a d ʊ ʃ
acatamento	ɐ k ɐ t ɐ m eɪ ŋ t ʊ
acatava	ɐ k ɐ t a v ɐ
acatei	ɐ k ɐ t eɪ
acautelado	ɐ k aʊ t ɨ l a d ʊ
acautelar	ɐ k aʊ t ɨ l a ɹ
acautelasse	ɐ k aʊ t ɨ l a s ɨ
acautele	ɐ k aʊ t ɛ l ɨ
acauã	ɐ k aʊ ɐ̃
acavalada	ɐ k ɐ v ɐ l a d ɐ
acaçapada	ɐ k ɐ s ɐ p a d ɐ
acaçapado	ɐ k ɐ s ɐ p a d ʊ
acaúna	ɐ k ɐ u n ɐ
acbor	ɐ k b o ɹ
accarretara	ɐ k ɐ ʁ ɨ t a ɾ ɐ
accedem	ɐ s ɛ d eɪ ŋ
accefa	ɐ s ɛ f ɐ
acceita	ɐ s eɪ t ɐ
acceital	ɐ s eɪ t ɑ l
acceitando	ɐ s eɪ t ɐ̃ ŋ d ʊ
acceitar	ɐ s eɪ t a ɹ
acceitara	ɐ s eɪ t a ɾ ɐ
acceitaram	ɐ s eɪ t a ɾ ɐ̃ʊ̃
acceitaria	ɐ s eɪ t ɐ ɾ i ɐ
acceitará	ɐ s eɪ t ɐ ɾ a
acceitasse	ɐ s eɪ t a s ɨ
acceitava	ɐ s eɪ t a v ɐ
acceitavel	ɐ s eɪ t a v ɛ l
acceitação	ɐ s eɪ t ɐ s ɐ̃ʊ̃
acceite	ɐ s eɪ t ɨ
acceitei	ɐ s eɪ t eɪ
acceiteis	ɐ s eɪ t eɪ ʃ
acceito	ɐ s eɪ t ʊ
acceitou	ɐ s eɪ t o w
acceitão	ɐ s eɪ t ɐ̃ʊ̃
accelera	ɐ s ɨ l e ɾ ɐ
accelerado	ɐ s ɨ l ɨ ɾ a d ʊ
acceleram	ɐ s ɨ l e ɾ ɐ̃ʊ̃
accelerava	ɐ s ɨ l ɨ ɾ a v ɐ
accende	ɐ s eɪ ŋ d ɨ
accendem	ɐ s eɪ ŋ d eɪ ŋ
accender	ɐ s eɪ ŋ d e ɹ
accendeu	ɐ s eɪ ŋ d eʊ
accendi	ɐ s eɪ ŋ d i
accendia	ɐ s eɪ ŋ d i ɐ
accento	ɐ s eɪ ŋ t ʊ
accentos	ɐ s eɪ ŋ t ʊ ʃ
accentua	ɐ s eɪ ŋ t u ɐ
accentuada	ɐ s eɪ ŋ t u a d ɐ
accentuadas	ɐ s eɪ ŋ t u a d ɐ ʃ
accentuado	ɐ s eɪ ŋ t u a d ʊ
accentuando	ɐ s eɪ ŋ t u ɐ̃ ŋ d ʊ
accentuar	ɐ s eɪ ŋ t u a ɹ
accentuou	ɐ s eɪ ŋ t w o w
accesa	ɐ s e z ɐ
accesas	ɐ s e z ɐ ʃ
acceso	ɐ s e z ʊ
accesos	ɐ s e z ʊ ʃ
accessivel	ɐ s ɨ s i v ɛ l
accesso	ɐ s ɛ s ʊ
accessorios	ɐ s ɨ s u ɾ iʊ ʃ
accessos	ɐ s ɛ s ʊ ʃ
accidentada	ɐ s i d e n t a d ɐ
accidentado	ɐ s i d e n t a d ʊ
accidentaes	ɐ s i d e n t a ɨ ʃ
accidente	ɐ s i d eɪ ŋ t ɨ
acclamado	ɐ k l ɐ m a d ʊ
acclamando	ɐ k l ɐ m ɐ̃ ŋ d ʊ
acclamação	ɐ k l ɐ m ɐ s ɐ̃ʊ̃
acclamações	ɐ k l ɐ m ɐ s õ j ʃ
acclives	ɐ k l i v ɨ ʃ
accode	ɐ k ɔ d ɨ
accodem	ɐ k ɔ d eɪ ŋ
accometteu	ɐ k u m ɨ t eʊ
accommetter	ɐ k u m m ɨ t e ɹ
accommoda	ɐ k u m m ɔ d ɐ
accommodado	ɐ k u m m u d a d ʊ
accommodam	ɐ k u m m ɔ d ɐ̃ʊ̃
accommodou	ɐ k u m m u d o w
accomoda	ɐ k u m ɔ d ɐ
accordada	ɐ k u ɾ ə d a d ɐ
accordal	ɐ k u ɾ ə d ɑ l
accordar	ɐ k u ɾ ə d a ɹ
accordara	ɐ k u ɾ ə d a ɾ ɐ
accordaram	ɐ k u ɾ ə d a ɾ ɐ̃ʊ̃
accordareis	ɐ k u ɾ ə d ɐ ɾ eɪ ʃ
accordassem	ɐ k u ɾ ə d a s eɪ ŋ
accordava	ɐ k u ɾ ə d a v ɐ
accordes	ɐ k ɔ ɾ ə d ɨ ʃ
accordo	ɐ k o ɾ ə d ʊ
accordou	ɐ k u ɾ ə d o w
accordára	ɐ k u ɾ ə d a ɾ ɐ
accorrerem	ɐ k u ʁ e ɾ eɪ ŋ
accreditai	ɐ k ɹ ɨ d i t aɪ
accrefcenta	ɐ k ɹ ɨ f s eɪ ŋ t ɐ
accrefcentamentos	ɐ k ɹ ɨ f s eɪ ŋ t ɐ m eɪ ŋ t ʊ ʃ
accrefcentando	ɐ k ɹ ɨ f s eɪ ŋ t ɐ̃ ŋ d ʊ
accrefcentar	ɐ k ɹ ɨ f s eɪ ŋ t a ɹ
accrefcentara	ɐ k ɹ ɨ f s eɪ ŋ t a ɾ ɐ
accrefcentava	ɐ k ɹ ɨ f s eɪ ŋ t a v ɐ
accrefcentou	ɐ k ɹ ɨ f s eɪ ŋ t o w
accresce	ɐ k ɹ ɛ s ɨ
accrescenta	ɐ k ɹ ɨ s eɪ ŋ t ɐ
accrescentando	ɐ k ɹ ɨ s eɪ ŋ t ɐ̃ ŋ d ʊ
accrescentar	ɐ k ɹ ɨ s eɪ ŋ t a ɹ
accrescentaram	ɐ k ɹ ɨ s eɪ ŋ t a ɾ ɐ̃ʊ̃
accrescentarei	ɐ k ɹ ɨ s eɪ ŋ t ɐ ɾ eɪ
accrescentava	ɐ k ɹ ɨ s eɪ ŋ t a v ɐ
accrescentavam	ɐ k ɹ ɨ s eɪ ŋ t a v ɐ̃ʊ̃
accrescente	ɐ k ɹ ɨ s eɪ ŋ t ɨ
accrescentei	ɐ k ɹ ɨ s eɪ ŋ t eɪ
accrescentemos	ɐ k ɹ ɨ s eɪ ŋ t e m ʊ ʃ
accrescento	ɐ k ɹ ɨ s eɪ ŋ t ʊ
accrescentou	ɐ k ɹ ɨ s eɪ ŋ t o w
accrescia	ɐ k ɹ ɨ s i ɐ
accrescimo	ɐ k ɹ ɨ s i m ʊ
accudimos	ɐ k u d i m ʊ ʃ
accudir	ɐ k u d i ɹ
accudira	ɐ k u d i ɾ ɐ
accudiu	ɐ k u d iʊ
accufa	ɐ k u f ɐ
accufacáo	ɐ k u f ɐ k a ʊ
accufacão	ɐ k u f ɐ k ɐ̃ʊ̃
accufada	ɐ k u f a d ɐ
accufado	ɐ k u f a d ʊ
accufador	ɐ k u f ɐ d o ɹ
accufadores	ɐ k u f ɐ d o ɾ ɨ ʃ
accufar	ɐ k u f a ɹ
accufarnoie	ɐ k u f ɐ ɾ ə n oɪ ɨ
accufas	ɐ k u f ɐ ʃ
accufava	ɐ k u f a v ɐ
accufação	ɐ k u f ɐ s ɐ̃ʊ̃
accufações	ɐ k u f ɐ s õ j ʃ
accufe	ɐ k u f ɨ
accufes	ɐ k u f ɨ ʃ
accufou	ɐ k u f o w
accuia	ɐ k uɪ ɐ
accuiacão	ɐ k uɪ ɐ k ɐ̃ʊ̃
accula	ɐ k u l ɐ
accular	ɐ k u l a ɹ
accummular	ɐ k ũ m m u l a ɹ
accumuladas	ɐ k u m u l a d ɐ ʃ
accumulado	ɐ k u m u l a d ʊ
accumulados	ɐ k u m u l a d ʊ ʃ
accumulará	ɐ k u m u l ɐ ɾ a
accumulo	ɐ k u m u l ʊ
accusa	ɐ k u z ɐ
accusadores	ɐ k u z ɐ d o ɾ ɨ ʃ
accusados	ɐ k u z a d ʊ ʃ
accusal	ɐ k u z ɑ l
accusala	ɐ k u z a l ɐ
