'l	ɛ l l e
accettarla	a tʃː e tː a r l a
accettarli	a tʃː e tː a r l ɪ
accettarlo	a tʃː e tː a r l o
accettarono	a tʃː e tː a r o n o
accettarti	a tʃː e tː a r t ɪ
accettasse	a tʃː e tː a ss e
accettassimo	a tʃː e tː a ss i m o
accettaste	a tʃː e tː a s t e
accettasti	a tʃː e tː a s t ɪ
accettata	a tʃː e tː a t a
accettate	a tʃː e tː a t e
accettati	a tʃː e tː a t ɪ
accettato	a tʃː e tː a t o
accettava	a tʃː e tː a v a
accettavano	a tʃː e tː a v a n o
accettazione	a tʃː e tː a ts i o n e
accette	a tʃː e tː e
accetteranno	a tʃː e tː e r a n n o
accetterebbe	a tʃː e tː e r ɛ bː e
accetterei	a tʃː e tː e r ɛ i
accetteremmo	a tʃː e tː e r ɛ m m o
accetteremo	a tʃː e tː e r ɛ m o
accetterete	a tʃː e tː e r e t e
accetterà	a tʃː e tː e ɾ a
accetterò	a tʃː e tː e ɾ ɔ
accetti	a tʃː e tː ɪ
accettino	a tʃː ɛ tː i n o
accetto	a tʃː ɛ tː o
accettollo	a tʃː e tː ɔ l l o
accettorno	a tʃː e tː ɔ r n o
accettorono	a tʃː e tː ɔ r o n o
accettò	a tʃː e tː ɔ
acche	a kː e
acchetar	a kː e t a r
acchetati	a kː e t a t ɪ
accheterò	a kː e t e ɾ ɔ
acchetossi	a kː e t ɔ ss ɪ
acchetò	a kː e t ɔ
acchiappa	a kː j a pː a
acchiappacitrulli	a kː j a pː a tʃ i t r u l l ɪ
acchiappando	a kː j a pː a n d o
acchiappar	a kː j a pː a r
acchiappare	a kː j a pː a r e
acchiapparli	a kː j a pː a r l ɪ
acchiapparlo	a kː j a pː a r l o
acchiapparsi	a kː j a pː a r s ɪ
acchiapparti	a kː j a pː a r t ɪ
acchiappata	a kː j a pː a t a
acchiappate	a kː j a pː a t e
acchiappati	a kː j a pː a t ɪ
acchiappato	a kː j a pː a t o
acchiappatolo	a kː j a pː a t o l o
acchiappava	a kː j a pː a v a
acchiappò	a kː j a pː ɔ
acchito	a kː i t o
acciaccata	a tʃː a kː a t a
acciacchi	a tʃː a kː ɪ
acciaccoso	a tʃː a kː o z o
acciaio	a tʃː a i o
acciaiuoli	a tʃː a j ʊ ɔ l ɪ
acciajato	a tʃː a j a t o
acciar	a tʃː a r
acciari	a tʃː a r ɪ
acciaro	a tʃː a r o
accidempoli	a tʃː i d e m p o l ɪ
accidentale	a tʃː i d e n t a l e
accidentali	a tʃː i d e n t a l ɪ
accidentalità	a tʃː i d e n t a l i t a
accidentato	a tʃː i d e n t a t o
accidente	a tʃː i d ɛ n t e
accidenti	a tʃː i d ɛ n t ɪ
accidiosa	a tʃː i d j ɔ z a
accidioso	a tʃː i d j o z o
accieca	a tʃː e k a
accigliandosi	a tʃː i ʎ a n d o z ɪ
accigliata	a tʃː i ʎ a t a
accigliate	a tʃː i ʎ a t e
accigliati	a tʃː i ʎ a t ɪ
accigliato	a tʃː i ʎ a t o
accigliò	a tʃː i ʎ ɔ
accingermi	a tʃː i n dʒ e r m ɪ
accingersi	a tʃː i n dʒ e r s ɪ
accingeva	a tʃː i n dʒ ɛ v a
accingevano	a tʃː i n dʒ e v a n o
accingherà	a tʃː i ŋ ɡ e ɾ a
accingo	a tʃː i ŋ ɡ o
accinse	a tʃː i n s e
accio	a tʃː o
acciocchè	a tʃː o kː ɛ
acciocché	a tʃː o kː e
acciochè	a tʃː o k ɛ
accioché	a tʃː o k e
acciottolar	a tʃː o tː o l a r
acciottolata	a tʃː o tː o l a t a
acciottolate	a tʃː o tː o l a t e
acciottolati	a tʃː o tː o l a t ɪ
acciottolato	a tʃː o tː o l a t o
acciottolìo	a tʃː o tː o l i o
acciottolío	a tʃː o tː o l i o
acciuffa	a tʃː u f f a
acciuffando	a tʃː ʊ f f a n d o
acciuffargli	a tʃː ʊ f f a r ʎ ɪ
acciuffarla	a tʃː ʊ f f a r l a
acciuffarlo	a tʃː ʊ f f a r l o
acciuffarmi	a tʃː ʊ f f a r m ɪ
acciuffarono	a tʃː ʊ f f a r o n o
acciuffata	a tʃː ʊ f f a t a
acciuffate	a tʃː ʊ f f a t e
acciuffati	a tʃː ʊ f f a t ɪ
acciuffatisi	a tʃː ʊ f f a t i z ɪ
acciuffato	a tʃː ʊ f f a t o
acciuffo	a tʃː u f f o
acciuffò	a tʃː ʊ f f ɔ
acciughe	a tʃː u ɡ e
acciò	a tʃː ɔ
acclamante	a kː l a m a n t e
acclamata	a kː l a m a t a
acclamazioni	a kː l a m a ts i o n ɪ
accline	a kː l i n e
accludo	a kː l u d o
acco'lo	a kː o l o
accoccandomela	a kː o kː a n d o m e l a
accoccarmi	a kː o kː a r m ɪ
accoccato	a kː o kː a t o
accoccava	a kː o kː a v a
accoccolai	a kː o kː o l a j
accoccolarmi	a kː o kː o l a r m ɪ
accoccolarono	a kː o kː o l a r o n o
accoccolarsi	a kː o kː o l a r s ɪ
accoccolata	a kː o kː o l a t a
accoccolati	a kː o kː o l a t ɪ
accoccolato	a kː o kː o l a t o
accoccolava	a kː o kː o l a v a
accoccolerà	a kː o kː o l e ɾ a
accoccò	a kː o kː ɔ
accogli	a kː o ʎ ɪ
accoglia	a kː o ʎ a
accogliamo	a kː o ʎ a m o
accoglie	a kː o ʎ e
accogliendo	a kː o ʎ ɛ n d o
accogliendomi	a kː o ʎ e n d o m ɪ
accoglienza	a kː o ʎ ɛ n ts a
accoglienze	a kː o ʎ ɛ n ts e
accoglier	a kː o ʎ ɛ r
accoglieranno	a kː o ʎ e r a n n o
accogliere	a kː ɔ ʎ e r e
accoglieremo	a kː o ʎ e r ɛ m o
accoglierla	a kː o ʎ e r l a
accoglierle	a kː o ʎ e r l e
accoglierli	a kː o ʎ e r l ɪ
accoglierlo	a kː o ʎ e r l o
accogliermi	a kː o ʎ e r m ɪ
accoglierti	a kː o ʎ e r t ɪ
accoglierà	a kː o ʎ e ɾ a
accogliesse	a kː o ʎ ɛ ss e
accoglieteli	a kː o ʎ e t e l ɪ
accoglietelo	a kː o ʎ e t e l o
accoglieva	a kː o ʎ ɛ v a
accoglievali	a kː o ʎ e v a l ɪ
accoglievano	a kː o ʎ e v a n o
accoglitor	a kː o ʎ i t ɔ r
accolgono	a kː o l ɡ o n o
accollarmi	a kː o l l a r m ɪ
accollata	a kː o l l a t a
accollate	a kː o l l a t e
accollati	a kː o l l a t ɪ
accolse	a kː o l s e
accolsero	a kː o l s e r o
accolsi	a kː o l s ɪ
accolta	a kː ɔ l t a
accolte	a kː ɔ l t e
accoltellano	a kː o l t e l l a n o
accoltellato	a kː o l t e l l a t o
accolti	a kː ɔ l t ɪ
accolto	a kː ɔ l t o
accomiatar	a kː o m j a t a r
accomiatarsi	a kː o m j a t a r s ɪ
accomiatò	a kː o m j a t ɔ
accomoda	a kː ɔ m o d a
accomodando	a kː o m o d a n d o
accomodandole	a kː o m o d a n d o l e
accomodandosi	a kː o m o d a n d o z ɪ
accomodar	a kː o m o d a r
accomodare	a kː o m o d a r e
accomodargli	a kː o m o d a r ʎ ɪ
accomodarsi	a kː o m o d a r s ɪ
accomodata	a kː o m o d a t a
accomodate	a kː o m o d a t e
accomodatevi	a kː o m o d a t e v ɪ
accomodati	a kː o m o d a t ɪ
accomodato	a kː o m o d a t o
accomodava	a kː o m o d a v a
accomoderemo	a kː o m o d e r ɛ m o
accomoderà	a kː o m o d e ɾ a
accomodi	a kː ɔ m o d ɪ
accomodiamo	a kː o m o d j a m o
accomodiate	a kː o m o d j a t e
accomodino	a kː o m o d i n o
accomodo	a kː ɔ m o d o
accomodò	a kː o m o d ɔ
accompagna	a kː o m p a ɲ ɲ a
accompagnai	a kː o m p a ɲ a j
accompagnalo	a kː o m p a ɲ a l o
accompagnamento	a kː o m p a ɲ a m e n t o
accompagnami	a kː o m p a ɲ a m ɪ
accompagnando	a kː o m p a ɲ a n d o
accompagnandola	a kː o m p a ɲ a n d o l a
accompagnandolo	a kː o m p a ɲ a n d o l o
accompagnandomi	a kː o m p a ɲ a n d o m ɪ
accompagnandosi	a kː o m p a ɲ a n d o z ɪ
accompagnano	a kː o m p a ɲ a n o
accompagnar	a kː o m p a ɲ a r
accompagnarci	a kː o m p a ɲ a r tʃ ɪ
accompagnare	a kː o m p a ɲ a r e
accompagnarla	a kː o m p a ɲ a r l a
accompagnarle	a kː o m p a ɲ a r l e
accompagnarli	a kː o m p a ɲ a r l ɪ
accompagnarlo	a kː o m p a ɲ a r l o
accompagnarmi	a kː o m p a ɲ a r m ɪ
accompagnarono	a kː o m p a ɲ a r o n o
accompagnarsi	a kː o m p a ɲ a r s ɪ
accompagnasse	a kː o m p a ɲ a ss e
accompagnata	a kː o m p a ɲ a t a
accompagnate	a kː o m p a ɲ a t e
accompagnatemi	a kː o m p a ɲ a t e m ɪ
accompagnati	a kː o m p a ɲ a t ɪ
accompagnato	a kː o m p a ɲ a t o
accompagnatore	a kː o m p a ɲ a t o r e
accompagnatori	a kː o m p a ɲ a t o r ɪ
accompagnatrice	a kː o m p a ɲ a t r i tʃ e
accompagnava	a kː o m p a ɲ a v a
accompagnavan	a kː o m p a ɲ a v a n
accompagnavano	a kː o m p a ɲ a v a n o
accompagneranno	a kː o m p a ɲ e r a n n o
accompagnerei	a kː o m p a ɲ e r ɛ i
accompagneremo	a kː o m p a ɲ e r ɛ m o
accompagnerete	a kː o m p a ɲ e r e t e
accompagnerà	a kː o m p a ɲ e ɾ a
accompagnerò	a kː o m p a ɲ e ɾ ɔ
accompagni	a kː o m p a ɲ ɲ ɪ
accompagniate	a kː o m p a ɲ j a t e
accompagnino	a kː o m p a ɲ i n o
accompagno	a kː o m p a ɲ ɲ o
accompagnorono	a kː o m p a ɲ ɔ r o n o
accompagnò	a kː o m p a ɲ ɲ ɔ
acconci	a kː o n tʃ ɪ
acconcia	a kː o n tʃ a
acconciando	a kː o n tʃ a n d o
acconciare	a kː o n tʃ a r e
acconciarsi	a kː o n tʃ a r s ɪ
acconciarvisi	a kː o n tʃ a r v i z ɪ
acconciata	a kː o n tʃ a t a
acconciate	a kː o n tʃ a t e
acconciati	a kː o n tʃ a t ɪ
acconciato	a kː o n tʃ a t o
acconciatosi	a kː o n tʃ a t o z ɪ
acconciatura	a kː o n tʃ a t u r a
acconciature	a kː o n tʃ a t u r e
acconciava	a kː o n tʃ a v a
acconciavasi	a kː o n tʃ a v a z ɪ
acconcie	a kː o n tʃ e
acconcio	a kː o n tʃ o
acconciò	a kː o n tʃ ɔ
accondiscendere	a kː o n d i ʃ ɛ n d e r e
accondiscese	a kː o n d i ʃ e z e
acconsente	a kː o n s ɛ n t e
acconsentendo	a kː o n s e n t ɛ n d o
acconsentire	a kː o n s e n t i r e
acconsentiresti	a kː o n s e n t i r ɛ s t ɪ
acconsentirono	a kː o n s e n t i r o n o
acconsentisse	a kː o n s e n t i ss e
acconsentito	a kː o n s e n t i t o
acconsentiva	a kː o n s e n t i v a
acconsento	a kː o n s ɛ n t o
acconsentì	a kː o n s e n t i
accontate	a kː o n t a t e
accontati	a kː o n t a t ɪ
accontenta	a kː o n t ɛ n t a
accontentando	a kː o n t e n t a n d o
accontentare	a kː o n t e n t a r e
accontentarlo	a kː o n t e n t a r l o
accontentarono	a kː o n t e n t a r o n o
accontentarsi	a kː o n t e n t a r s ɪ
accontentarvi	a kː o n t e n t a r v ɪ
accontentata	a kː o n t e n t a t a
accontentativi	a kː o n t e n t a t i v ɪ
accontentorono	a kː o n t e n t ɔ r o n o
accontentò	a kː o n t e n t ɔ
acconti	a kː o n t ɪ
acconto	a kː o n t o
accoppa	a kː ɔ pː a
accoppano	a kː ɔ pː a n o
accoppare	a kː o pː a r e
accopparli	a kː o pː a r l ɪ
accopparlo	a kː o pː a r l o
accoppatemi	a kː o pː a t e m ɪ
accoppato	a kː o pː a t o
accopperanno	a kː o pː e r a n n o
accopperebbero	a kː o pː e r e bː e r o
accoppiamento	a kː o pː j a m e n t o
accoppiamo	a kː o pː j a m o
accoppiamoli	a kː o pː j a m o l ɪ
accoppiata	a kː o pː j a t a
accoppiati	a kː o pː j a t ɪ
accoppio	a kː o pː i o
accora	a kː ɔ r a
accoramento	a kː o r a m e n t o
accorante	a kː o r a n t e
accorata	a kː o r a t a
accorate	a kː o r a t e
accorato	a kː o r a t o
accorava	a kː o r a v a
accoravano	a kː o r a v a n o
accorcia	a kː ɔ r tʃ a
accorciar	a kː o r tʃ a r
accorciare	a kː o r tʃ a r e
accorciarla	a kː o r tʃ a r l a
accorciavan	a kː o r tʃ a v a n
accorciò	a kː o r tʃ ɔ
accorda	a kː ɔ r d a
accordammo	a kː o r d a m m o
accordando	a kː o r d a n d o
accordano	a kː ɔ r d a n o
accordansa	a kː o r d a n s a
accordanza	a kː o r d a n ts a
accordare	a kː o r d a r e
accordargli	a kː o r d a r ʎ ɪ
accordarla	a kː o r d a r l a
accordarle	a kː o r d a r l e
accordarli	a kː o r d a r l ɪ
accordarmeli	a kː o r d a r m e l ɪ
accordarmi	a kː o r d a r m ɪ
accordarono	a kː o r d a r o n o
accordarsi	a kː o r d a r s ɪ
accordarvi	a kː o r d a r v ɪ
accordassero	a kː o r d a ss e r o
accordata	a kː o r d a t a
accordate	a kː o r d a t e
accordati	a kː o r d a t ɪ
accordato	a kː o r d a t o
accordava	a kː o r d a v a
accordavo	a kː o r d a v o
accordellato	a kː o r d e l l a t o
accordi	a kː ɔ r d ɪ
accordiamo	a kː o r d j a m o
accordo	a kː ɔ r d o
accordorono	a kː o r d ɔ r o n o
accordossi	a kː o r d ɔ ss ɪ
accorge	a kː ɔ r dʒ e
accorgea	a kː o r dʒ ɛ a
accorgendo	a kː o r dʒ ɛ n d o
accorgendomi	a kː o r dʒ e n d o m ɪ
accorgendosi	a kː o r dʒ e n d o z ɪ
accorger	a kː o r dʒ ɛ r
accorgerai	a kː o r dʒ e r aː ɪ
accorgeranno	a kː o r dʒ e r a n n o
accorgercene	a kː ɔ r dʒ e r tʃ e n e
accorgere	a kː ɔ r dʒ e r e
accorgermene	a kː ɔ r dʒ e r m e n e
accorgermi	a kː ɔ r dʒ e r m ɪ
accorgersene	a kː ɔ r dʒ e r s e n e
accorgersi	a kː ɔ r dʒ e r s ɪ
accorgerà	a kː o r dʒ e ɾ a
accorgerò	a kː o r dʒ e ɾ ɔ
accorgesse	a kː o r dʒ ɛ ss e
accorgete	a kː o r dʒ e t e
accorgeva	a kː o r dʒ ɛ v a
accorgevano	a kː o r dʒ e v a n o
accorgevo	a kː o r dʒ ɛ v o
accorgi	a kː ɔ r dʒ ɪ
accorgiamo	a kː o r dʒ a m o
accorgimenti	a kː o r dʒ i m e n t ɪ
accorgimento	a kː o r dʒ i m e n t o
accorgo	a kː ɔ r ɡ o
accoricarsi	a kː o r i k a r s ɪ
accorocci	a kː o r ɔ tʃː ɪ
accorra	a kː ɔ r ɾ a
accorre	a kː ɔ r ɾ e
accorremmo	a kː o r ɾ ɛ m m o
accorrendo	a kː o r ɾ ɛ n d o
accorrente	a kː o r ɾ ɛ n t e
accorrenti	a kː o r ɾ ɛ n t ɪ
accorrer	a kː o r ɾ ɛ r
accorrere	a kː ɔ r ɾ e r e
accorrerà	a kː o r ɾ e ɾ a
accorresse	a kː o r ɾ ɛ ss e
accorressero	a kː o r ɾ e ss e r o
accorreva	a kː o r ɾ ɛ v a
accorrevan	a kː o r ɾ e v a n
accorrevano	a kː o r ɾ e v a n o
accorri	a kː ɔ r ɾ ɪ
accorro	a kː ɔ r ɾ o
accorron	a kː ɔ r ɾ o n
accorrono	a kː ɔ r ɾ o n o
accorrà	a kː o r ɾ a
accorsa	a kː ɔ r s a
accorse	a kː ɔ r s e
accorsero	a kː ɔ r s e r o
accorsi	a kː ɔ r s ɪ
accorso	a kː ɔ r s o
accort	a kː o r t
accorta	a kː ɔ r t a
accortamente	a kː o r t a m e n t e
accortasi	a kː o r t a z ɪ
accorte	a kː ɔ r t e
accortezza	a kː o r t e tsː a
accorti	a kː ɔ r t ɪ
accorto	a kː ɔ r t o
accortosi	a kː o r t ɔ z ɪ
accosciata	a kː o ʃ a t a
accosta	a kː ɔ s t a
accostai	a kː o s t a j
accostammo	a kː o s t a m m o
accostando	a kː o s t a n d o
accostandoglisi	a kː o s t a n d o ʎ i z ɪ
accostandolo	a kː o s t a n d o l o
accostandomi	a kː o s t a n d o m ɪ
accostandomisi	a kː o s t a n d o m i z ɪ
accostandosi	a kː o s t a n d o z ɪ
accostano	a kː ɔ s t a n o
accostar	a kː o s t a r
accostarcisi	a kː o s t a r tʃ i z ɪ
accostare	a kː o s t a r e
accostarla	a kː o s t a r l a
accostarlo	a kː o s t a r l o
accostarmi	a kː o s t a r m ɪ
accostarono	a kː o s t a r o n o
accostarsele	a kː o s t a r s e l e
accostarsi	a kː o s t a r s ɪ
accostata	a kː o s t a t a
accostatala	a kː o s t a t a l a
accostatasi	a kː o s t a t a z ɪ
accostate	a kː o s t a t e
accostatesi	a kː o s t a t e z ɪ
accostatevi	a kː o s t a t e v ɪ
accostati	a kː o s t a t ɪ
accostatisi	a kː o s t a t i z ɪ
accostato	a kː o s t a t o
accostatosi	a kː o s t a t o z ɪ
accostava	a kː o s t a v a
accostavano	a kː o s t a v a n o
accostavi	a kː o s t a v ɪ
accosti	a kː ɔ s t ɪ
accosto	a kː ɔ s t o
accostorono	a kː o s t ɔ r o n o
accostossi	a kː o s t ɔ ss ɪ
accostumata	a kː o s t ʊ m a t a
accostumatamente	a kː o s t ʊ m a t a m e n t e
accostumato	a kː o s t ʊ m a t o
accostumava	a kː o s t ʊ m a v a
accostò	a kː o s t ɔ
accovaccia	a kː o v a tʃː a
accovacciai	a kː o v a tʃː a j
accovacciarsi	a kː o v a tʃː a r s ɪ
accovacciata	a kː o v a tʃː a t a
accovacciate	a kː o v a tʃː a t e
accovacciati	a kː o v a tʃː a t ɪ
accovacciato	a kː o v a tʃː a t o
accovacciò	a kː o v a tʃː ɔ
accozzare	a kː o tsː a r e
accozzarli	a kː o dzː a r l ɪ
accozzate	a kː o tsː a t e
accozzati	a kː o tsː a t ɪ
accozzavo	a kː o tsː a v o
accrebbe	a kː r ɛ bː e
accresce	a kː r e ʃ e
accrescendo	a kː r e ʃ ɛ n d o
accrescer	a kː r e ʃ ɛ r
accrescerai	a kː r e ʃ e r aː ɪ
accrescere	a kː r e ʃ e r e
accrescergli	a kː r e ʃ e r ʎ ɪ
accrescerne	a kː r e ʃ e r n e
accrescersi	a kː r e ʃ e r s ɪ
accrescerti	a kː r e ʃ e r t ɪ
accrescerà	a kː r e ʃ e ɾ a
accrescesse	a kː r e ʃ ɛ ss e
accresceva	a kː r e ʃ ɛ v a
accrescevano	a kː r e ʃ e v a n o
accresci	a kː r e ʃ ɪ
accrescitori	a kː r e ʃ i t o r ɪ
accresciuta	a kː r e ʃ u t a
accresciute	a kː r e ʃ u t e
accresciuto	a kː r e ʃ u t o
accuccia	a kː u tʃː a
accucciarsela	a kː ʊ tʃː a r s e l a
accucciarsi	a kː ʊ tʃː a r s ɪ
accucciata	a kː ʊ tʃː a t a
accucciato	a kː ʊ tʃː a t o
accudendo	a kː ʊ d ɛ n d o
accudir	a kː ʊ d i r
accudire	a kː ʊ d i r e
accula	a kː ʊ l a
acculati	a kː ʊ l a t ɪ
acculato	a kː ʊ l a t o
acculò	a kː ʊ l ɔ
accumula	a kː u m ʊ l a
accumulandosi	a kː ʊ m ʊ l a n d o z ɪ
accumular	a kː ʊ m ʊ l a r
accumulare	a kː ʊ m ʊ l a r e
accumulata	a kː ʊ m ʊ l a t a
accumulate	a kː ʊ m ʊ l a t e
accumulati	a kː ʊ m ʊ l a t ɪ
accumulato	a kː ʊ m ʊ l a t o
accumulatore	a kː ʊ m ʊ l a t o r e
accumulatori	a kː ʊ m ʊ l a t o r ɪ
accumulava	a kː ʊ m ʊ l a v a
accumuli	a kː u m ʊ l ɪ
accuratamente	a kː ʊ r a t a m e n t e
accuratezza	a kː ʊ r a t e tsː a
accurati	a kː ʊ r a t ɪ
accusa	a kː u z a
accusai	a kː ʊ z a j
accusando	a kː ʊ z a n d o
accusandosi	a kː ʊ z a n d o z ɪ
accusano	a kː u z a n o
accusar	a kː ʊ z a r
accusare	a kː ʊ z a r e
accusarete	a kː ʊ z a r e t e
accusarlo	a kː ʊ z a r l o
accusarono	a kː ʊ z a r o n o
accusasse	a kː ʊ z a ss e
accusata	a kː ʊ z a t a
accusate	a kː ʊ z a t e
accusati	a kː ʊ z a t ɪ
accusato	a kː ʊ z a t o
accusatore	a kː ʊ z a t o r e
accusatori	a kː ʊ z a t o r ɪ
accusava	a kː ʊ z a v a
accusavanlo	a kː ʊ z a v a n l o
accusavano	a kː ʊ z a v a n o
accusavasi	a kː ʊ z a v a z ɪ
accusazione	a kː ʊ z a ts i o n e
accuse	a kː u z e
accuserai	a kː ʊ z e r aː ɪ
accuserò	a kː ʊ z e ɾ ɔ
accusiam	a kː u z j a m
accusino	a kː u z i n o
accuso	a kː u z o
accusorono	a kː ʊ z ɔ r o n o
accusò	a kː ʊ z ɔ
accòrse	a kː ɔ r s e
acenna	a tʃ ɛ n n a
acerba	a tʃ ɛ r b a
acerbamente	a tʃ e r b a m e n t e
acerbe	a tʃ ɛ r b e
acerbi	a tʃ ɛ r b ɪ
acerbità	a tʃ e r b i t a
acerbo	a tʃ ɛ r b o
aceri	a tʃ e r ɪ
acero	a tʃ e r o
acerrima	a tʃ ɛ r ɾ i m a
acerrimamente	a tʃ e r ɾ i m a m e n t e
acerrime	a tʃ ɛ r ɾ i m e
acerrimi	a tʃ ɛ r ɾ i m ɪ
acerrimo	a tʃ ɛ r ɾ i m o
aceto	a tʃ e t o
ach	a tʃ
achei	a k ɛ i
acheronte	a k e r o n t e
achetata	a k e t a t a
achetò	a k e t ɔ
achille	a k i l l e
achito	a k i t o
achitofel	a k i t o f e l
aci	a tʃ ɪ
acide	a tʃ i d e
acido	a tʃ i d o
acini	a tʃ i n ɪ
acino	a tʃ i n o
acireale	a tʃ i r e a l e
acompagnarlo	a k o m p a ɲ a r l o
acordo	a k ɔ r d o
acorzè	a k o r ts ɛ
acqua	a kː w a
acquabianca	a kː w a b j a n k a
acquaccia	a kː w a tʃː a
acquacheta	a kː w a k e t a
acquafrescai	a kː w a f r e s k a j
acquafrescaio	a kː w a f r e s k a i o
acquaio	a kː w a i o
acquajola	a kː w a j ɔ l a
acquarelli	a kː w a r ɛ l l ɪ
acquarii	a kː w a r ɪː j
acquasantiera	a kː w a z a n t i ɛ r a
acquate	a kː w a t e
acquatiche	a kː w a t i k e
acquatico	a kː w a t i k o
acquattata	a kː w a tː a t a
acquattato	a kː w a tː a t o
acquavite	a kː w a v i t e
acquazzone	a kː w a tsː o n e
acquazzoni	a kː w a tsː o n ɪ
acque	a kː w e
acquedotti	a kː w e d o tː ɪ
acqueo	a kː w e o
acquerelli	a kː w e r ɛ l l ɪ
acquerello	a kː w e r ɛ l l o
acqueta	a kː w e t a
acquetai	a kː w e t a j
acquetare	a kː w e t a r e
acquetarsi	a kː w e t a r s ɪ
acquetata	a kː w e t a t a
acquetatevi	a kː w e t a t e v ɪ
acquetati	a kː w e t a t ɪ
acquetato	a kː w e t a t o
acquetavo	a kː w e t a v o
acquetò	a kː w e t ɔ
acquiescenza	a kː w j e ʃ ɛ n ts a
acquietarsi	a kː w j e t a r s ɪ
acquietata	a kː w j e t a t a
acquietate	a kː w j e t a t e
acquietava	a kː w j e t a v a
acquirenti	a kː w i r ɛ n t ɪ
acquirino	a kː w i r i n o
acquista	a kː w i s t a
acquistai	a kː w i s t a j
acquistan	a kː w i s t a n
acquistando	a kː w i s t a n d o
acquistandosi	a kː w i s t a n d o z ɪ
acquistano	a kː w i s t a n o
acquistar	a kː w i s t a r
acquistare	a kː w i s t a r e
acquistarla	a kː w i s t a r l a
acquistarli	a kː w i s t a r l ɪ
acquistarlo	a kː w i s t a r l o
acquistarne	a kː w i s t a r n e
acquistarsi	a kː w i s t a r s ɪ
acquistassi	a kː w i s t a ss ɪ
acquistassino	a kː w i s t a ss i n o
acquistata	a kː w i s t a t a
acquistate	a kː w i s t a t e
acquistati	a kː w i s t a t ɪ
acquistato	a kː w i s t a t o
acquistava	a kː w i s t a v a
acquistavan	a kː w i s t a v a n
acquistavano	a kː w i s t a v a n o
acquistavo	a kː w i s t a v o
acquisterà	a kː w i s t e ɾ a
acquisti	a kː w i s t ɪ
acquisto	a kː w i s t o
acquistono	a kː w i s t o n o
acquistonsi	a kː w i s t o n s ɪ
acquistò	a kː w i s t ɔ
acquitrini	a kː w i t r i n ɪ
acquolina	a kː w o l i n a
acquosa	a kː w o z a
acquose	a kː w o z e
acquosi	a kː w ɔ z ɪ
acra	a k r a
acragante	a k r a ɡ a n t e
acramente	a k r a m e n t e
acre	a k r e
acredine	a k r ɛ d i n e
acri	a k r ɪ
acro	a k r o
acrobata	a k r ɔ b a t a
acrobatico	a k r o b a t i k o
acrostici	a k r ɔ s t i tʃ ɪ
acrèdine	a k r ɛ d i n e
acto	a k t o
acuirgli	a k ʊ i r ʎ ɪ
acuiva	a k ʊ i v a
aculeo	a k u l e o
acume	a k u m e
acuminato	a k ʊ m i n a t o
acustico	a k u s t i k o
acuta	a k u t a
acutamente	a k ʊ t a m e n t e
acute	a k u t e
acuti	a k u t ɪ
acutissima	a k ʊ t i ss i m a
acutissimamente	a k ʊ t i ss i m a m e n t e
acutissime	a k ʊ t i ss i m e
acutissimi	a k ʊ t i ss i m ɪ
acutissimo	a k ʊ t i ss i m o
acuto	a k u t o
ad	a d
ada	a d a
adacquarla	a d a kː w a r l a
adageremo	a d a dʒ e r ɛ m o
adagia	a d a dʒ a
adagiamente	a d a dʒ a m e n t e
adagiandoli	a d a dʒ a n d o l ɪ
adagiandolo	a d a dʒ a n d o l o
adagiandosi	a d a dʒ a n d o z ɪ
adagiandovi	a d a dʒ a n d o v ɪ
adagiar	a d a dʒ a r
adagiarla	a d a dʒ a r l a
adagiarlo	a d a dʒ a r l o
adagiarono	a d a dʒ a r o n o
adagiarsi	a d a dʒ a r s ɪ
adagiarvi	a d a dʒ a r v ɪ
adagiata	a d a dʒ a t a
adagiati	a d a dʒ a t ɪ
adagiato	a d a dʒ a t o
adagino	a d a dʒ i n o
adagio	a d a dʒ o
adagiò	a d a dʒ ɔ
adamante	a d a m a n t e
adamantina	a d a m a n t i n a
adamantino	a d a m a n t i n o
adamo	a d a m o
adastando	a d a s t a n d o
adatta	a d a tː a
adattamento	a d a tː a m e n t o
