а	ɑ
англию	ɑ n ɡ ɭʲ i ju
англия	ɑ n ɡ ɭʲ i ja
англоамериканскими	a n ɡ ɭ ʌ ʌ mʲ i rʲ i k ʌ n s kʲ i mʲ ɪ
англоман	a n ɡ ɭ ʌ m ɑ n
англомана	a n ɡ ɭ o m ʌ n a
англомании	a n ɡ ɭ ʌ m ɑ nʲ i ɪ
англоманом	a n ɡ ɭ ʌ m ɑ n ʌ m
ангонами	a n ɡ o n ʌ mʲ ɪ
анджелико	a n d ʒ ɛ ɭʲ i k ʌ
анджело	a n d ʒ ɛ ɭ ʌ
анджолита	a n d ʒ o ɭʲ i t a
анджолиты	a n d ʒ o ɭʲ i t y
андревна	a n d rʲ e v n a
андреев	a n d rʲ e j i f
андреева	a n d rʲ e j i v a
андрееваписателя	a n d rʲ i j i v a pʲ i s ʌ tʲ i ɭʲ ʌ
андрееве	a n d rʲ e j i vʲ i
андреевич	a n d rʲ e j i vʲ i tʃʲ
андреевича	a n d rʲ e j i vʲ i tʃʲ ʌ
андреевичей	a n d rʲ i j e vʲ i tʃʲ i j
андреевичем	a n d rʲ e j i vʲ i tʃʲ i m
андреевичу	a n d rʲ e j i vʲ i tʃʲ u
андреевна	a n d rʲ e j i v n a
андреевне	a n d rʲ e j i v nʲ i
андреевной	a n d rʲ e j i v n ʌ j
андреевну	a n d rʲ e j i v n u
андреевны	a n d rʲ e j i v n y
андреевская	a n d rʲ i j e f s k ʌ ja
андреевский	a n d rʲ e j i f s kʲ i j
андреевской	a n d rʲ i j e f s k ʌ j
андрееву	a n d rʲ e j i v u
андреевым	a n d rʲ e j i v y m
андреич	a n d rʲ e i tʃʲ
андреича	a n d rʲ e i tʃʲ ʌ
андреичем	a n d rʲ i i tʃʲ i m
андреичу	a n d rʲ e i tʃʲ u
андрей	a n d rʲ e j
андрея	a n d rʲ e ja
андромахи	a n d r ʌ m ɑ x ɪ
андромаху	a n d r o m ʌ x u
андрэ	a n d r ɛ
андрюшка	a n d rʲ u" ʃ k a
ане	ɑ nʲ i
анекдот	a nʲ i ɡ d o t
анекдотов	a nʲ i ɡ d o t ʌ f
анекдотом	a nʲ i ɡ d o t ʌ m
анекдоты	a nʲ i ɡ d o t y
анемичность	a nʲ i mʲ i tʃʲ n ʌ s tʲ
анемоны	a nʲ i m o n y
ани	ɑ nʲ ɪ
анисимыч	a nʲ i sʲ i m y tʃʲ
анисьи	a nʲ i sʲ j ɪ
анисья	a nʲ i sʲ j ja
анкеты	a n kʲ e t y
анконе	a n k o nʲ i
анконы	a n k o n y
анна	ɑ n n a
анне	ɑ n nʲ i
аннексий	a n nʲ e k sʲ i j
аннели	a n nʲ e ɭʲ ɪ
анненской	ɑ n nʲ i n s k ʌ j
анни	ɑ n nʲ ɪ
анной	ɑ n n ʌ j
анну	ɑ n n u
аннушка	ɑ n n u ʃ k a
анны	ɑ n n y
антагонизма	a n t ʌ ɡ ʌ nʲ i z m a
антагонистических	a n t ʌ ɡ ʌ nʲ i sʲ tʲ i tʃʲ i s kʲ i x
антверпен	a n t vʲ e r pʲ i n
антибуржуазность	a n tʲ i b u r ʒ u ʌ z n ʌ s tʲ
антигона	a n tʲ i ɡ o n a
антигоной	a n tʲ i ɡ o n ʌ j
антиколлективистическое	a n tʲ i k ʌ ɭ ɭʲ i k tʲ i vʲ i sʲ tʲ i tʃʲ i s k ʌ j ɪ
антикультурное	a n tʲ i k u ɭ t u r n ʌ j ɪ
антиномией	a n tʲ i n o mʲ i j i j
антиномии	a n tʲ i n o mʲ i ɪ
антиномия	a n tʲ i n o mʲ i ja
антипатии	a n tʲ i p ɑ tʲ i ɪ
антипатично	a n tʲ i p ɑ tʲ i tʃʲ n ʌ
антипатию	a n tʲ i p ɑ tʲ i ju
антипогромной	a n tʲ i p o ɡ r ʌ m n ʌ j
антипогромную	a n tʲ i p o ɡ r ʌ m n u ju
антипогромных	a n tʲ i p o ɡ r ʌ m n y x
антипода	a n tʲ i p o d a
антиподу	a n tʲ i p o d u
антиподы	a n tʲ i p o d y
антирелигиозным	a n tʲ i rʲ i ɭʲ i ɡʲ i ʌ z n y m
антисемит	a n tʲ i sʲ i mʲ i t
антисемитизм	a n tʲ i sʲ i mʲ i tʲ i z m
антисемитизма	a n tʲ i sʲ i mʲ i tʲ i z m a
антисемитизмом	a n tʲ i sʲ i mʲ i tʲ i z m ʌ m
антисемитизму	a n tʲ i sʲ e mʲ i tʲ i z m u
антисемитического	a n tʲ i sʲ i mʲ i tʲ i tʃʲ i s k ʌ v ʌ
антисемитов	a n tʲ i sʲ i mʲ i t ʌ f
антисемитские	a n tʲ i sʲ i mʲ i ts kʲ i j ɪ
антисемитского	a n tʲ i sʲ i mʲ i ts k ʌ v ʌ
антисемиты	a n tʲ i sʲ i mʲ i t y
антисоборное	a n tʲ i s o b ʌ r n ʌ j ɪ
антитезами	a n tʲ i tʲ e z ʌ mʲ ɪ
антитезе	a n tʲ i tʲ i ʑ i
антитезы	a n tʲ i tʲ i z y
антихрист	a n tʲ i x rʲ i s t
антихристова	a n tʲ i x rʲ i s t ʌ v a
антихристом	a n tʲ i x rʲ i s t ʌ m
антихудожественной	a n tʲ i x u d ʌ ʒ ɛ s t vʲ i n n ʌ j
античной	a n tʲ i ʃ n ʌ j
античном	a n tʲ i tʃʲ n ʌ m
античности	a n tʲ i tʃʲ n ʌ sʲ tʲ ɪ
античность	a n tʲ i tʃʲ n ʌ s tʲ
античные	a n tʲ i tʃʲ n y j ɪ
античный	a n tʲ i tʃʲ n y j
античным	a n tʲ i tʃʲ n y m
антокольский	a n t ʌ k o ɭ s kʲ i j
антон	a n t o n
антона	a n t o n a
антоне	a n t o nʲ i
антонии	a n t o nʲ i ɪ
антонов	a n t o n ʌ f
антоновских	a n t ʌ n o f s kʲ i x
антоновых	a n t ʌ n o v y x
антоном	a n t o n ʌ m
антону	a n t o n u
антракт	a n t r ɑ k t
антракта	a n t r ɑ k t a
антрактах	a n t r ɑ k t ʌ x
антракте	a n t r ɑ k tʲ i
антрактов	a n t r ɑ k t ʌ f
антрепренеру	a n t rʲ i p rʲ e nʲ i r u
антрепренеры	a n t rʲ i p rʲ e nʲ i r y
антресолях	a n t rʲ i s o ɭʲ ʌ x
антропоцентризм	a n t r ʌ p ʌ ts y n t rʲ i z m
антропоцентричны	a n t r ʌ p o ts y n t rʲ i ʃ n y
антураже	a n t u r ʌ ʒ y
анфилада	a n fʲ i ɭ ɑ d a
анфиладе	a n fʲ i ɭ ɑ dʲ i
анфиладу	a n fʲ i ɭ ɑ d u
анфиса	a n fʲ i s a
анфисе	a n fʲ i sʲ i
анфису	a n fʲ i s u
анфисы	a n fʲ i s y
анчар	a n tʃʲ ɑ r
анчара	a n tʃʲ ɑ r a
анчару	a n tʃʲ ɑ r u
анюта	a nʲ u" t a
анютке	a nʲ u" t kʲ i
анюты	a nʲ u" t y
апатии	a p ɑ tʲ i ɪ
апатическом	a p a tʲ i tʃʲ i s k ʌ m
апатично	a p a tʲ i tʃʲ n ʌ
апатию	a p ɑ tʲ i ju
апатия	a p ɑ tʲ i ja
апеллировала	a pʲ i ɭ ɭʲ i r ʌ v ʌ ɭ a
апеллирует	a pʲ i ɭ ɭʲ i r u j i t
апеллируя	a pʲ i ɭ ɭʲ i r u ja
апелляции	a pʲ i ɭ ɭʲ ɑ ts y ɪ
апелляций	a pʲ i ɭ ɭʲ ɑ ts y j
апельсин	a pʲ i ɭ sʲ i n
апельсина	a pʲ i ɭ sʲ i n a
апельсинами	a pʲ i ɭ sʲ i n ʌ mʲ ɪ
апельсины	a pʲ i ɭ sʲ i n y
аплике	a p ɭʲ i kʲ i
аплодисментов	a p ɭ ʌ dʲ i s mʲ e n t ʌ f
апломба	a p ɭ o m b a
апломбом	a p ɭ o m b ʌ m
апогея	a p ʌ ɡʲ e ja
апокалипсисом	a p ʌ k ɑ ɭʲ i p sʲ i s ʌ m
аполлона	a p ʌ ɭ ɭ o n a
аполлоном	a p ʌ ɭ ɭ o n ʌ m
аполлону	a p o ɭ ɭ ʌ n u
апологии	a p ʌ ɭ o ɡʲ i ɪ
апологий	a p ʌ ɭ o ɡʲ i j
апостол	a p o s t ʌ ɭ
апостола	a p o s t ʌ ɭ a
апостолами	a p o s t ʌ ɭ ʌ mʲ ɪ
апостолах	a p o s t ʌ ɭ ʌ x
апостолов	a p o s t ʌ ɭ ʌ f
апостолто	a p o s t ʌ ɭ t ʌ
апостольского	a p o s t ʌ ɭ s k ʌ v ʌ
апостольское	a p o s t ʌ ɭ s k ʌ j ɪ
апостольствуют	a p ʌ s t o ɭ s t v u ju t
апофеоз	a p ʌ fʲ i o s
аппарат	a p p a r ɑ t
аппарата	a p p a r ɑ t a
аппетит	a p pʲ i tʲ i t
аппетита	a p pʲ i tʲ i t a
аппетитами	a p pʲ i tʲ i t ʌ mʲ ɪ
аппетитом	a p pʲ i tʲ i t ʌ m
аппетиту	a p pʲ i tʲ i t u
аппетиты	a p pʲ i tʲ i t y
апраксеей	a p r a k sʲ e j i j
апраксея	a p r ɑ k sʲ i ja
апреле	a p rʲ e ɭʲ i
апрель	a p rʲ e ɭ
апрельский	a p rʲ e ɭ s kʲ i j
апрельском	a p rʲ e ɭ s k ʌ m
априорных	a p rʲ i o r n y x
аптекарь	a p tʲ e k ʌ r ɪ^
аптекарю	a p tʲ e k ʌ rʲ u"
аптекаря	a p tʲ e k ʌ rʲ ʌ
аптеке	a p tʲ e kʲ i
аптеки	a p tʲ e kʲ ɪ
аптеку	a p tʲ e k u
апулея	a p u ɭʲ e ja
апухтин	a p u x tʲ i n
апухтина	a p u x tʲ i n a
арабажин	a r a b ɑ ʒ y n
арабажина	a r a b ɑ ʒ y n a
арабажиным	a r a b ɑ ʒ y n y m
арабесках	a r a bʲ e s k ʌ x
арабески	a r a bʲ e s kʲ ɪ
арабский	a r ɑ p s kʲ i j
аравийские	a r a vʲ i j s kʲ i j ɪ
аракса	a r ɑ k s a
аракчеев	a r a k tʃʲ e j i f
араньо	a r ɑ nʲ ʌ
арап	a r ɑ p
арапа	a r ɑ p a
арапка	a r ɑ p k a
арапов	a r ɑ p ʌ f
арба	a r b ɑ
арбалет	a r b a ɭʲ e t
арбалета	a r b a ɭʲ e t a
арбат	a r b ɑ t
арбатом	a r b ɑ t ʌ m
арбу	a r b u
арбуза	a r b u z a
арбузами	a r b u z ʌ mʲ ɪ
арбузов	a r b u z ʌ f
арбузы	a r b u z y
аргумент	a r ɡ u mʲ e n t
аргументации	a r ɡ u mʲ i n t ɑ ts y ɪ
аргументацию	a r ɡ u mʲ i n t ɑ ts y ju
аргументация	a r ɡ u mʲ i n t ɑ ts y ja
аргументов	a r ɡ u mʲ e n t ʌ f
аргументы	a r ɡ u mʲ e n t y
арена	a rʲ e n a
арендаторов	a rʲ i n d ɑ t ʌ r ʌ f
арене	a rʲ e nʲ i
ареной	a rʲ e n ʌ j
арены	a rʲ e n y
ареопаг	a rʲ i ʌ p ɑ k
арест	a rʲ e s t
арестантских	a rʲ i s t ɑ n t s kʲ i x
арестантскую	a rʲ i s t ɑ n t s k u ju
арестах	a rʲ e s t ʌ x
арестовавшие	a rʲ i s t o v ʌ f ʃ y j ɪ
арестовал	a rʲ i s t ʌ v ɑ ɭ
арестовали	a rʲ i s t ʌ v ɑ ɭʲ ɪ
арестованного	a rʲ i s t o v ʌ n n ʌ v ʌ
арестованными	a rʲ i s t o v ʌ n n y mʲ ɪ
арестовать	a rʲ i s t ʌ v ɑ tʲ
арестом	a rʲ e s t ʌ m
арестуй	a rʲ i s t u j
арзамор	a r z ɑ m ʌ r
ариадну	a rʲ i ʌ d n u
ариадны	a rʲ i ɑ d n y
ариетку	a rʲ i j i t k u
арийская	a rʲ i j s k ʌ ja
арийский	a rʲ i j s kʲ i j
арийское	a rʲ i j s k ʌ j ɪ
арийца	a rʲ i j ts a
арийцами	a rʲ i j ts ʌ mʲ ɪ
ариман	a rʲ i m ʌ n
арина	a rʲ i n a
арины	a rʲ i n y
аристократ	a rʲ i s t ʌ k r ɑ t
аристократа	a rʲ i s t ʌ k r ɑ t a
аристократизм	a rʲ i s t ʌ k r a tʲ i z m
аристократизма	a rʲ i s t ʌ k r a tʲ i z m a
аристократическая	a rʲ i s t ʌ k r a tʲ i tʃʲ i s k ʌ ja
аристократические	a rʲ i s t ʌ k r a tʲ i tʃʲ i s kʲ i j ɪ
аристократический	a rʲ i s t ʌ k r a tʲ i tʃʲ i s kʲ i j
аристократического	a rʲ i s t ʌ k r a tʲ i tʃʲ i s k ʌ v ʌ
аристократической	a rʲ i s t ʌ k r a tʲ i tʃʲ i s k ʌ j
аристократичнее	a rʲ i s t ʌ k r ɑ tʲ i tʃʲ nʲ i j ɪ
аристократично	a rʲ i s t ʌ k r a tʲ i tʃʲ n ʌ
аристократичности	a rʲ i s t ʌ k r ɑ tʲ i tʃʲ n ʌ sʲ tʲ ɪ
аристократичность	a rʲ i s t ʌ k r ɑ tʲ i tʃʲ n ʌ s tʲ
аристократка	a rʲ i s t ʌ k r ɑ t k a
аристократкой	a rʲ i s t ʌ k r ɑ t k ʌ j
аристократничай	a rʲ i s t ʌ k r ɑ tʲ nʲ i tʃʲ ʌ j
аристократов	a rʲ i s t ʌ k r ɑ t ʌ f
аристократы	a rʲ i s t ʌ k r ɑ t y
аристотелевское	a rʲ i s t ʌ tʲ e ɭʲ i f s k ʌ j ɪ
аристофана	a rʲ i s t ʌ f ɑ n a
аритмичность	a rʲ i t mʲ i tʃʲ n ʌ s tʲ
арифметика	a rʲ i f mʲ e tʲ i k a
арифметике	a rʲ i f mʲ e tʲ i kʲ i
арифметикой	a rʲ i f mʲ e tʲ i k ʌ j
арифметику	a rʲ i f mʲ e tʲ i k u
арифметических	a rʲ i f mʲ i tʲ i tʃʲ i s kʲ i x
ариэлем	a rʲ i ɛ ɭʲ i m
ариэль	a rʲ i ɛ ɭ
ариэлю	a rʲ i ɛ ɭʲ u"
ариэля	a rʲ i ɛ ɭʲ ʌ
арию	ɑ rʲ i ju
ария	ɑ rʲ i ja
аркадий	a r k ɑ dʲ i j
аркадия	a r k ɑ dʲ i ja
аркан	a r k ɑ n
аркане	a r k ɑ nʲ i
арки	ɑ r kʲ ɪ
арктической	a r k tʲ i tʃʲ i s k ʌ j
арктур	a r k t u r
арктура	a r k t u r a
армана	a r m ɑ n a
армейский	a r mʲ e j s kʲ i j
армейских	a r mʲ e j s kʲ i x
армейского	a r mʲ e j s k ʌ v ʌ
армид	a r mʲ i t
армида	a r mʲ i d a
армиде	a r mʲ i dʲ i
армиды	a r mʲ i d y
армией	ɑ r mʲ i j i j
армии	ɑ r mʲ i ɪ
армию	ɑ r mʲ i ju
армия	ɑ r mʲ i ja
армяк	a r mʲ ɑ k
армяке	a r mʲ a kʲ e
армян	a r mʲ ɑ n
армянин	a r mʲ a nʲ i n
армянское	a r mʲ ɑ n s k ʌ j ɪ
аромат	a r ʌ m ɑ t
аромата	a r ʌ m ɑ t a
ароматах	a r ʌ m ɑ t ʌ x
ароматное	a r ʌ m ɑ t n ʌ j ɪ
ароматный	a r ʌ m ɑ t n y j
ароматов	a r ʌ m ɑ t ʌ f
ароматом	a r ʌ m ɑ t ʌ m
ароматы	a r ʌ m ɑ t y
аронсон	a r o n s ʌ n
арриги	a r rʲ i ɡʲ ɪ
аррогантов	a r r ʌ ɡ ɑ n t ʌ f
арсений	a r sʲ e nʲ i j
арсенич	a r sʲ i nʲ i tʃʲ
арсенича	a r sʲ e nʲ i tʃʲ ʌ
артель	a r tʲ e ɭ
артемизы	a r tʲ e mʲ i z y
артерии	a r tʲ e rʲ i ɪ
артерий	a r tʲ e rʲ i j
артиллерией	a r tʲ i ɭ ɭʲ e rʲ i j i j
артиллерии	a r tʲ i ɭ ɭʲ e rʲ i ɪ
артиллерийская	a r tʲ i ɭ ɭʲ i rʲ i j s k ʌ ja
артиллерийские	a r tʲ i ɭ ɭʲ i rʲ i j s kʲ i j ɪ
артиллерийский	a r tʲ i ɭ ɭʲ i rʲ i j s kʲ i j
артиллеристы	a r tʲ i ɭ ɭʲ i rʲ i s t y
артиллерию	a r tʲ i ɭ ɭʲ e rʲ i ju
артиллериювполголоса	a r tʲ i ɭ ɭʲ i rʲ i ju f p o ɭ ɡ ʌ ɭ ʌ s a
артиллерия	a r tʲ i ɭ ɭʲ e rʲ i ja
артист	a r tʲ i s t
артиста	a r tʲ i s t a
артистам	a r tʲ i s t ʌ m
артистами	a r tʲ i s t ʌ mʲ ɪ
артистические	a r tʲ i sʲ tʲ i tʃʲ i s kʲ i j ɪ
артистический	a r tʲ i sʲ tʲ i tʃʲ i s kʲ i j
артистическое	a r tʲ i sʲ tʲ i tʃʲ i s k ʌ j ɪ
артистической	a r tʲ i sʲ tʲ i tʃʲ i s k ʌ j
артистично	a r tʲ i sʲ tʲ i tʃʲ n ʌ
артистка	a r tʲ i s t k a
артистки	a r tʲ i s t kʲ ɪ
артисткой	a r tʲ i s t k ʌ j
артистов	a r tʲ i s t ʌ f
артистом	a r tʲ i s t ʌ m
артисту	a r tʲ i s t u
артисты	a r tʲ i s t y
артишоки	a r tʲ i ʃ o kʲ ɪ
арф	ɑ r f
арфа	ɑ r f a
арфам	ɑ r f ʌ m
арфе	ɑ r fʲ i
арфой	ɑ r f ʌ j
арфою	a r f o ju
арфы	ɑ r f y
архаичен	a r x a i tʃʲ i n
архаический	a r x a i tʃʲ i s kʲ i j
архаическом	a r x a i tʃʲ i s k ʌ m
архалуке	a r x ɑ ɭ u kʲ i
архангел	a r x ɑ n ɡʲ i ɭ
архангела	a r x ɑ n ɡʲ i ɭ a
архангелом	a r x ɑ n ɡʲ i ɭ ʌ m
архангелу	a r x ɑ n ɡʲ i ɭ u
археологию	a r x i ʌ ɭ o ɡʲ i ju
архивариус	a r x i v ɑ rʲ i u s
архивах	a r x i v ʌ x
архиве	a r x i vʲ i
архивного	a r x i v n ʌ v ʌ
архивность	a r x i v n o s tʲ
архивны	a r x i v n y
архивы	a r x i v y
архиепископ	a r x i j i pʲ i s k ʌ p
архиепископом	a r x i j i pʲ i s k ʌ p ʌ m
архиереев	a r x i j i rʲ e j i f
архиереем	a r x i j i rʲ e j i m
архиереи	a r x i j i rʲ e ɪ
архиерей	a r x i j i rʲ e j
архиерейское	a r x i j i rʲ e j s k ʌ j ɪ
архиерею	a r x i j i rʲ e ju
архиерея	a r x i j i rʲ e ja
архимандритов	a r x i m ɑ n d rʲ i t ʌ f
архимеда	a r x i mʲ e d a
архимедов	a r x i mʲ e d ʌ f
архипастыря	a r x i p ɑ s t y rʲ ʌ
архипыч	a r x i p y tʃʲ
архитектоники	a r x i tʲ e k t ʌ nʲ i kʲ ɪ
архитектор	a r x i tʲ e k t ʌ r
архитектора	a r x i tʲ e k t ʌ r a
архитектором	a r x i tʲ e k t ʌ r ʌ m
архитекторы	a r x i tʲ e k t ʌ r y
архитектура	a r x i tʲ i k t u r a
архитектуре	a r x i tʲ i k t u rʲ i
аршин	a r ʃ y n
аршина	a r ʃ y n a
арьергард	a r ɪ^ j j i r ɡ ɑ r t
арьергарда	a r ɪ^ j j e r ɡ ʌ r d a
арьергарде	a r ɪ^ j j e r ɡ ʌ r dʲ i
асемитизм	a sʲ i mʲ i tʲ i z m
асессор	a sʲ e s s ʌ r
асессора	a sʲ e s s ʌ r a
асессором	a sʲ e s s ʌ r ʌ m
аскеза	a s kʲ e z a
аскет	a s kʲ e t
аскетизм	a s kʲ i tʲ i z m
аскетизма	a s kʲ i tʲ i z m a
аскетизме	a s kʲ i tʲ i z mʲ i
аскетическая	a s kʲ i tʲ i tʃʲ i s k ʌ ja
аскетически	a s kʲ i tʲ i tʃʲ i s kʲ ɪ
аскетическим	a s kʲ i tʲ i tʃʲ i s kʲ i m
аскетического	a s kʲ i tʲ i tʃʲ i s k ʌ v ʌ
аскетическое	a s kʲ i tʲ i tʃʲ i s k ʌ j ɪ
аскетической	a s kʲ i tʲ i tʃʲ i s k ʌ j
аскетическому	a s kʲ i tʲ i tʃʲ i s k ʌ m u
аскетка	a s kʲ e t k a
аспекты	a s pʲ e k t y
аспидная	ɑ s pʲ i d n ʌ ja
аспидной	ɑ s pʲ i d n ʌ j
аспидская	ɑ s pʲ i d s k ʌ ja
аспиды	a s pʲ i d y
ассигнаций	a sʲ sʲ i ɡ n ɑ ts y j
ассигнацию	a sʲ sʲ i ɡ n ɑ ts y ju
ассигнациями	a sʲ sʲ i ɡ n ɑ ts y ja mʲ ɪ
ассизский	a sʲ sʲ i s s kʲ i j
ассимилировав	a sʲ sʲ i mʲ i ɭʲ i r ʌ v ʌ f
ассимилировал	a sʲ sʲ i mʲ i ɭʲ i r ʌ v ʌ ɭ
ассимилированном	a sʲ sʲ i mʲ i ɭʲ i r o v ʌ n n ʌ m
ассимилированные	a sʲ sʲ i mʲ i ɭʲ i r o v ʌ n n y j ɪ
ассимилированный	a sʲ sʲ i mʲ i ɭʲ i r o v ʌ n n y j
ассимилированным	a sʲ sʲ i mʲ i ɭʲ i r o v ʌ n n y m
ассимилированных	a sʲ sʲ i mʲ i ɭʲ i r o v ʌ n n y x
ассимилирующего	a sʲ sʲ i mʲ i ɭʲ i r u ju ɕ i v ʌ
ассимилируясь	a sʲ sʲ i mʲ i ɭʲ i r u ja sʲ
ассимилятор	a sʲ sʲ i mʲ i ɭʲ ʌ t ʌ r
ассимилятора	a sʲ sʲ i mʲ i ɭʲ ʌ t ʌ r a
ассимиляторами	a sʲ sʲ i mʲ i ɭʲ ɑ t ʌ r ʌ mʲ ɪ
ассимиляторов	a sʲ sʲ i mʲ i ɭʲ ɑ t ʌ r ʌ f
ассимилятором	a sʲ sʲ i mʲ i ɭʲ ɑ t ʌ r ʌ m
ассимиляторы	a sʲ sʲ i mʲ i ɭʲ ɑ t ʌ r y
ассимиляции	a sʲ sʲ i mʲ i ɭʲ ɑ ts y ɪ
ассимиляционного	a sʲ sʲ i mʲ i ɭʲ a ts y ʌ n n ʌ v ʌ
ассимиляцию	a sʲ sʲ i mʲ i ɭʲ ɑ ts y ju
ассимиляция	a sʲ sʲ i mʲ i ɭʲ ɑ ts y ja
ассирийский	a sʲ sʲ i rʲ i j s kʲ i j
ассонансам	a s s ʌ n ɑ n s ʌ m
ассортимент	a s s ʌ r tʲ i mʲ e n t
ассоциацией	a s s ʌ ts y ɑ ts y j i j
ассоциации	a s s ʌ ts y ɑ ts y ɪ
ассоциация	a s s ʌ ts y ɑ ts y ja
астафьича	a s t ɑ f j i tʃʲ ʌ
астра	ɑ s t r a
астральны	a s t r ɑ ɭ n y
астрахани	ɑ s t r ʌ x ʌ nʲ ɪ
астраханские	a s t r a x ɑ n s kʲ i j ɪ
астры	ɑ s t r y
асфальтах	a s f ɑ ɭ t ʌ x
ась	ɑ sʲ
атавизм	a t a vʲ i z m
атака	a t ɑ k a
атаками	a t ɑ k ʌ mʲ ɪ
атаки	a t ɑ kʲ ɪ
атаковал	a t ʌ k ʌ v ɑ ɭ
атаковали	a t ʌ k ʌ v ɑ ɭʲ ɪ
атаку	a t ɑ k u
атаман	a t a m ɑ n
атамана	a t a m ɑ n a
атаману	a t a m ɑ n u
атаманы	a t a m ɑ n y
атеизм	a tʲ i i z m
атеизма	a tʲ i i z m a
атеизме	a tʲ i i z mʲ i
атеизмом	a tʲ i i z m ʌ m
атеизму	a tʲ i i z m u
атеистический	a tʲ i i sʲ tʲ i tʃʲ i s kʲ i j
атеистического	a tʲ i i sʲ tʲ i tʃʲ i s k ʌ v ʌ
атеистической	a tʲ i i sʲ tʲ i tʃʲ i s k ʌ j
атлантида	a t ɭ a n tʲ i d a
атлантиде	a t ɭ a n tʲ i dʲ i
атлас	ɑ t ɭ ʌ s
атласа	a t ɭ ɑ s a
атласная	a t ɭ ɑ s n ʌ ja
атласном	a t ɭ ɑ s n ʌ m
атласные	a t ɭ ɑ s n y j ɪ
атласный	a t ɭ ɑ s n y j
атлетические	a t ɭʲ i tʲ i tʃʲ i s kʲ i j ɪ
атмосфера	a t m ʌ s fʲ e r a
атмосфере	a t m ʌ s fʲ e rʲ i
атмосферное	a t m ʌ s fʲ e r n ʌ j ɪ
атмосферных	a t m ʌ s fʲ e r n y x
атмосферу	a t m ʌ s fʲ e r u
атмосферы	a t m ʌ s fʲ e r y
атома	ɑ t ʌ m a
атоме	ɑ t ʌ mʲ i
